

NRC Optimism--Pessimism Association Lexicon
(OPAL)
Version 0.1
1 June 2013
Copyright (C) 2011 National Research Council Canada (NRC)
Contact: Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

1. This copy of the NRC Optimism--Pessimism Association Lexicon is to
be used for research purposes only.  Please contact NRC if interested 
in a commercial license.

2. Do not redistribute the NRC Emotion Lexicon. Please refer
interested parties to Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca).

.......................................................................

OPAL
----
The OPAL is a list of terms and their associations with optimism and pessimism. 
The lexicon was created automatically from about 140,000 tweets that had
at least one of the following hashtags: #optimism, #optimistic, #pessimism,
and #pessimistic. It may be noted that close to 120,000 tweets pertained
to optimism and only 20,000 pertained to pessimism.

Positive scores indicate association with optimism, whereas negative scores
indicate association with pessimism. The terms with scores close to 0
(on either side) are realtively weak indicators of optimism--pessimism
and can be ignored in certain applications.

.......................................................................

The list below is for bigrams.

bigram	score	NumberOfTimesCooccuredWithOptimism	NumberOfTimesCooccuredWithPessimism
day #optimistic	6.495	709	0
tomorrow #optimistic	5.577	283	0
today #optimistic	5.507	264	0
#hopeful #optimistic	5.465	253	0
better #optimistic	5.437	246	0
day #optimism	5.374	231	0
it #optimistic	5.316	218	0
year #optimistic	5.152	185	0
lol #optimistic	5.05	167	0
me #optimistic	5.044	166	0
week #optimistic	5.007	160	0
better !	4.969	154	0
be #optimistic	4.895	143	0
everything will	4.852	137	0
hey ,	4.799	130	0
#positive #optimistic	4.736	122	0
determined to	4.694	117	0
time #optimistic	4.694	117	0
#happy #optimistic	4.694	117	0
good #optimistic	4.642	111	0
optimistic hoping	4.632	110	0
out #optimistic	4.605	107	0
better #optimism	4.595	106	0
#optimistic #hopeful	4.567	103	0
focus on	4.557	102	0
least we	4.537	100	0
tonight !	4.527	99	0
just gotta	4.507	97	0
head up	4.496	96	0
tonight #optimistic	4.475	94	0
it #optimism	4.475	94	0
now #optimistic	4.465	93	0
be worth	4.443	91	0
lets hope	4.432	90	0
least the	4.432	90	0
happens for	4.398	87	0
though #optimistic	4.398	87	0
up #optimistic	4.363	84	0
everything happens	4.363	84	0
meant to	4.351	83	0
haha #optimistic	4.339	82	0
some good	4.327	81	0
even better	4.327	81	0
smile on	4.314	80	0
#excited #optimistic	4.314	80	0
be okay	4.302	79	0
great !	4.302	79	0
into place	4.276	77	0
today #optimism	4.276	77	0
hopefully this	4.263	76	0
future #optimistic	4.263	76	0
make today	4.25	75	0
move on	4.237	74	0
#optimistic #positive	4.223	73	0
