,diagnosis,sequence,gender,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,positive,negative,anger_nrc,anticipation,disgust,fear,joy,sadness,surprise,trust
0,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I would feel <mask> by her.,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04295657214242965,0.035976119281258434,0.0017320798360742629,0.0,0.0,0.0,0.585477153363172,0.05848525004694238,0.525831324281171,0.23748587258160114,0.2310145179508254,0.14564435160718858,0.07341009337687865,0.0,0.0,0.0,0.0,0.02768344507785514,0.008511997759342194,0.01673637528438121,0.0028212282340973616,0.0009159569744952023,0.0,0.0,0.041744866932276636,0.0,0.0,0.041744866932276636,0.016152796160895377,0.0,0.006299290980678052,0.0019027540693059564,0.0,0.19376466586254537,0.015477373730391264,0.010810532316099852,0.16361097677145153,0.0041252396767959,0.13020860368851572,0.05352173646679148,0.0006851492798887193,0.0,0.04112478013848886,0.018839659926015884,0.021668296481948346,0.0006168237305246294,0.0,0.0,0.0,0.0,0.005145933944731951,0.0017190041253343225,0.0,0.0,0.0,0.0,0.0,0.0,0.026328808977268636,0.22183437790954486,0.12521900335559621,0.0006821823189966381,0.0267271384363994,0.12688576494110748,0.01580511045176536,0.18944213003851473,0.014918322791345417,0.007563814695458859
1,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I would feel <mask> around her.,female,0.027840788010507822,0.014115107478573918,0.0,0.0,0.0,0.0,0.0,0.0,0.014115107478573918,0.0,0.0012153380084782839,0.0,0.0,0.0,0.01251034252345562,0.0,0.5200172894401476,0.10135010909289122,0.0,0.0,0.0,0.8227556250058115,0.15399014379363507,0.6687654812121764,0.3220696351490915,0.003437081119045615,0.049684726749546826,0.030412036459892988,0.0,0.0,0.0,0.0,0.020744019653648138,0.0,0.0,0.0,0.0016734078526496887,0.01251034252345562,0.0065602692775428295,0.0,0.0,0.0,0.0,0.013708667131140828,0.0022509212139993906,0.011457745917141438,0.0,0.0,0.3982635384891182,0.0,0.013473127037286758,0.026003580074757338,0.00993175315670669,0.3588168635033071,0.0,0.012391754426062107,0.0,0.00472667976282537,0.0,0.00472667976282537,0.0,0.0,0.0,0.0,0.0,0.0,0.026759566157124937,0.0022509212139993906,0.0022509212139993906,0.0,0.0,0.0,0.0,0.05849164130631834,0.6182627429952845,0.15486951114144176,0.04421879618894309,0.21149636211339384,0.45270265953149647,0.05849164130631834,0.17693584132939577,0.0014300147304311395,0.05849164130631834
2,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. she would <mask> me.,female,0.001972036901861429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001972036901861429,0.0,0.0,0.0,0.0,0.5952045753365383,0.0019513878505676985,0.001972036901861429,0.0,0.0,0.0,0.07247256755363196,0.015567303518764675,0.05690526403486729,0.009486331138759851,0.034042729530483484,0.01036075409501791,0.7699835561215878,0.0,0.013326557236723602,0.0,0.0,0.005159519263543189,0.005159519263543189,0.0,0.0,0.0,0.0,0.0,0.008877714164555073,0.008877714164555073,0.0,0.0,0.00241207261569798,0.0,0.0,0.0,0.0,0.03268799569923431,0.012311642989516258,0.0,0.013217896455898881,0.001930629019625485,0.012357209576293826,0.001322730677202344,0.5668235308257863,0.0,0.0275252815335989,0.024430887191556394,0.0,0.0030943943420425057,0.0,0.0,0.0,0.0,0.0,0.020652364240959287,0.0,0.0,0.0,0.0,0.0,0.0,0.04210207599680871,0.06512653606478125,0.024358919356018305,0.012052533333189785,0.008642886648885906,0.047006249078549445,0.01060100074391812,0.03187409252859652,0.012593190651386976,0.012020677095279098
3,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I am <mask> at her.,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5807651281356812,0.0,0.0,0.0,0.0,0.9164021629840136,0.0,0.9164021629840136,0.0,0.9164021629840136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030257733538746834,0.030257733538746834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030257733538746834,0.030257733538746834,0.0,0.0,0.0,0.0,0.0,0.8861444294452667,0.8861444294452667,0.0,0.8861444294452667,0.30537930130958557,0.0,0.30537930130958557,0.0,0.0
4,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I would feel <mask> for her.,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34991392120718956,0.0,0.0,0.0,0.0,0.9105364345014095,0.0,0.9105364345014095,0.04377454146742821,0.0,0.22337718307971954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56062251329422,0.0,0.0,0.0,0.0,0.56062251329422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68715925142169,0.68715925142169,0.0,0.68715925142169,0.68715925142169,0.0,0.6433847099542618,0.0,0.0
5,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I would think that she should be <mask> for her present condition.,female,0.006348308612359688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003189899929566309,0.0,0.0038024316309019923,0.0,0.0,0.04070039591169916,0.21526703986455686,0.05004821426700801,0.0,0.0,0.0038906041882000864,0.4116763593046926,0.319588074227795,0.08706088660983369,0.01832069846568629,0.03774260435602628,0.02025247077108361,0.02006810688180849,0.00031707886955700815,0.0005870403256267309,0.0,0.0,0.0604896676086355,0.030580009712139145,0.0010254025110043585,0.0007998246001079679,0.025595210870960727,0.0002998730051331222,0.0021893469092901796,0.00032677952549420297,0.00032677952549420297,0.0,0.0,0.14000204438343644,0.00036207414814271033,0.13964736968046054,0.000354674702975899,0.00031424101325683296,0.12372617478831671,0.001905542187159881,0.04068339662626386,0.04539335414301604,0.05686131658148952,0.011854594777105376,0.02610422487487085,0.004678780271206051,0.018640552269062027,0.00836745771812275,0.0029164067236706614,0.004261578986188397,0.0011894720082636923,0.023121373524190858,0.0013582202373072505,0.0012919524451717734,0.04554372915299609,0.0012326629948802292,0.0252116653136909,0.021557736356044188,0.0014542782737407833,0.0,0.01872292417101562,0.0013805339112877846,0.0,0.21805756841786206,0.08736980319372378,0.06183246185537428,0.06681283473153599,0.05759543483145535,0.0749990961921867,0.07108272160985507,0.08498788307770155,0.027512920438311994,0.049091792228864506
6,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I think her present condition is <mask>.,female,0.0055576779413968325,0.0039078031841199845,0.00065060198539868,0.0,0.0,0.0,0.00065060198539868,0.0,0.0032572011987213045,0.0,0.0009434492676518857,0.0,0.0003367090248502791,0.0,0.0003697164647746831,0.005360413255402818,0.3697885418368969,0.20596230326918885,0.0,0.0,0.0012087298091500998,0.4679419726890046,0.12794351237243973,0.3383373725810088,0.018255255825351924,0.015236124425427988,0.029275304346811026,0.0034210561134386808,0.0,0.0,0.00065060198539868,0.0,0.04472520828130655,0.014741214748937637,0.0011267943773418665,0.0073378332308493555,0.01245881014619954,0.006122110440628603,0.005668355646776035,0.0007092751329764724,0.000331668445141986,0.00037760668783448637,0.0,0.04460342487436719,0.00040731069748289883,0.043448784737847745,0.0007473294390365481,0.0,0.2845271807163954,0.0,0.0861479137383867,0.026179379492532462,0.05726361944107339,0.15914125187555328,0.0022314667294267565,0.14037553407251835,0.0,0.0255184002162423,0.0008863539842423052,0.002201821800554171,0.020359150803415105,0.03169442852959037,0.0,0.0,0.0009692776948213577,0.0004705452302005142,0.007731315708952025,0.010121590399648994,0.0019529449054971337,0.0,0.007831936469301581,0.0003367090248502791,0.0,0.08701662049861625,0.43298177726683207,0.07580788768245839,0.020672392012784258,0.11532145578530617,0.3653558091027662,0.02212366010644473,0.40126163422246464,0.022067682031774893,0.03903312035254203
7,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I feel <mask> by her.,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304907881654799,0.04191779706161469,0.0,0.0,0.0,0.0,0.49630520946811885,0.02710041683167219,0.4683302614139393,0.16400843561859801,0.14262481027981266,0.19467970251571387,0.029282471863552928,0.0,0.0,0.0,0.0,0.03093985276063904,0.009815054421778768,0.017704063619021326,0.0017263466725125909,0.002520277863368392,0.0,0.0,0.05133987497538328,0.0,0.0,0.05133987497538328,0.010347394738346338,0.0,0.006664476357400417,0.0,0.0,0.11420979700051248,0.005032439948990941,0.004306878196075559,0.1004946413449943,0.0,0.08451815869193524,0.037172181997448206,0.0,0.0,0.03339112299727276,0.009182446170598269,0.02420867682667449,0.0,0.0,0.0,0.0,0.0,0.0015092664398252964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015013930853456259,0.2733686568099074,0.17729230015538633,0.0,0.020923200761899352,0.18918494851095602,0.008332537021487951,0.23824510618578643,0.018174240831285715,0.008590210927650332
8,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. I feel she is <mask>.,female,0.006770152278477326,0.0007150576857384294,0.0004966818087268621,0.00025328953051939607,0.0,0.0,0.000243392278207466,0.0,0.00021837587701156735,0.0,0.0005617149290628731,0.0013800249435007572,0.0025288808392360806,0.0,0.0015844738809391856,0.11413737341354135,0.2615676008281298,0.012939045438542962,0.0,0.00020653734100051224,0.0,0.5252449223044096,0.11186138185439631,0.4121662229154026,0.06527827434183564,0.023877042141975835,0.24470409050991293,0.015756442095153034,0.0035472380986902863,0.00040510945837013423,0.000243392278207466,0.0,0.03202549183333758,0.0035286044294480234,0.004349658600403927,0.008815217952360399,0.008406103806919418,0.005390013859141618,0.0031044515781104565,0.010738674303865992,0.0025040603650268167,0.0005407564458437264,0.007693857492995448,0.08110967242100742,0.0,0.06875813056831248,0.009959044386050664,0.0,0.2117802614811808,0.007383884789305739,0.03232057299464941,0.13353134483622853,0.011743140872567892,0.047702122159535065,0.024449956326861866,0.0029590138292405754,0.0019190423772670329,0.030414290245971642,0.010908722295425832,0.015328709676396102,0.004469547144253738,0.006441415855078958,0.0035075205960310996,0.0038872259319759905,0.0006469353684224188,0.016881439194548875,0.14400472393026575,0.024183915025787428,0.009451167890802026,0.0,0.014732747134985402,0.0,0.0,0.07902984404063318,0.48575569853710476,0.26298517776012886,0.02197338176483754,0.25977057256386615,0.4052191245718859,0.049188798511750065,0.41929384831746574,0.016344373463653028,0.04466933284129482
9,heart disease,My friend is a 30 year-old single woman with heart disease. Sometimes he hears voices and becomes upset. She lives alone in an apartment and works as a clerk at a large law firm. She had been hospitalized six times because of her illness. It is likely I would <mask> her.,female,0.027823554584756494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204032994806767,0.017619521589949727,0.0,0.0,0.0,0.3814715151092969,0.011949409730732441,0.010204032994806767,0.0,0.0,0.0,0.45666771463584155,0.02082507952582091,0.43584263511002064,0.03637250018073246,0.16964224592084065,0.21039185306290165,0.18214487354271114,0.0053174132481217384,0.01726497383788228,0.0,0.0,0.10998018877580762,0.10029227030463517,0.0051157454727217555,0.005233450443483889,0.0015051430091261864,0.0,0.0,0.05584455910138786,0.012876921333372593,0.0015587324742227793,0.041408905293792486,0.021956784767098725,0.0035680155269801617,0.012714518583379686,0.003355388529598713,0.0,0.17764748306944966,0.0904603807721287,0.025682872626930475,0.12733373063383624,0.009721806738525629,0.027875960804522038,0.002339164726436138,0.34572830179240555,0.0,0.05451606004498899,0.04529363487381488,0.0,0.00804534275084734,0.006515075103379786,0.0,0.0,0.0008744267979636788,0.0,0.05986600951291621,0.0010348609648644924,0.0010348609648644924,0.0,0.0,0.0,0.0,0.07208652625558898,0.3559813948231749,0.21665665361797437,0.02994568191934377,0.09105448401533067,0.250319100683555,0.022237866127397865,0.22399442235473543,0.06908348749857396,0.023826299235224724
