,diagnosis,sequence,gender,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,positive,negative,anger_nrc,anticipation,disgust,fear,joy,sadness,surprise,trust
0,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would feel <mask> by him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051434743334539235,0.02894599037244916,0.0010971790179610252,0.0,0.0,0.0,0.5453609743854031,0.07403925037942827,0.4704983232659288,0.20603682182263583,0.18736944941338152,0.16552463587140664,0.0730254998197779,0.0,0.0,0.0,0.0,0.030421082919929177,0.012570332968607545,0.014589026686735451,0.0029328340315259993,0.0008811490843072534,0.0,0.0006172208813950419,0.04463290359126404,0.0,0.0,0.04463290359126404,0.01854140992509201,0.0,0.005641339637804776,0.0010894257575273514,0.0,0.1773302110377699,0.02153534651733935,0.01105873507913202,0.14215454802615568,0.004158502270001918,0.10868301073787734,0.06398820638423786,0.0,0.0,0.047481759916990995,0.020655009255278856,0.02613051451044157,0.0006962361512705684,0.0,0.0,0.0,0.0,0.007494261488318443,0.001597400289028883,0.0,0.0,0.0,0.0,0.0,0.0,0.03427719487808645,0.23571113386424258,0.1336838622810319,0.0006360773695632815,0.028338996169622988,0.1325929258018732,0.021089434972964227,0.2031328451121226,0.015758611843921244,0.008573012542910874
1,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would feel <mask> around him.,male,0.039746098686009645,0.023288551485165954,0.0018802665872499347,0.0,0.0,0.0,0.0018802665872499347,0.0,0.02140828489791602,0.0,0.0015530406963080168,0.0,0.0,0.0,0.014904506504535675,0.0,0.5128224440850317,0.11885673319920897,0.0,0.0,0.0,0.8044988912297413,0.201466218335554,0.6030326728941873,0.30216480896342546,0.0032160128466784954,0.06455379805993289,0.034790017642080784,0.0,0.0,0.0,0.0018802665872499347,0.02601737284567207,0.0,0.0,0.0,0.0022281387355178595,0.016114073456265032,0.007675160653889179,0.0,0.0,0.0,0.0,0.012703831074759364,0.00213197385892272,0.010571857215836644,0.0,0.0,0.38386481220368296,0.0,0.016768594738096,0.022965947282500565,0.012324500363320112,0.34318066062405705,0.0,0.009714496321976185,0.0,0.006946744630113244,0.0,0.006946744630113244,0.0,0.0,0.0,0.0,0.0,0.0,0.027961424319073558,0.00213197385892272,0.00213197385892272,0.0,0.0,0.0,0.0,0.07955242483876646,0.5485400530742481,0.1511769612552598,0.044516478199511766,0.21056896960362792,0.4011707934550941,0.07955242483876646,0.17318655794952065,0.0030505794566124678,0.07955242483876646
2,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. he would <mask> me.,male,0.0022893655113875866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022893655113875866,0.0,0.0,0.0,0.0,0.6502296179533005,0.0,0.0022893655113875866,0.0,0.0,0.0,0.05024904664605856,0.01317173382267356,0.037077312823385,0.002473358064889908,0.023382339160889387,0.011199945583939552,0.8035269430838525,0.0,0.015364058315753937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005691629368811846,0.005691629368811846,0.0,0.0,0.002500354079529643,0.0,0.0,0.0,0.0,0.02063919696956873,0.012207023100927472,0.0,0.007648160448297858,0.0,0.005467411829158664,0.0,0.6336944128852338,0.0,0.010551911778748035,0.010551911778748035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01861843839287758,0.0,0.0,0.0,0.0,0.0,0.0,0.03352895355783403,0.034854714293032885,0.010776485782116652,0.002473358064889908,0.0022905427031219006,0.025907194474712014,0.007612983463332057,0.023873743135482073,0.002524855313822627,0.005581827834248543
3,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I am <mask> at him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076799035072327,0.0,0.0,0.0,0.0,0.9070142209529877,0.0,0.9070142209529877,0.0,0.9070142209529877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027977705001831055,0.027977705001831055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027977705001831055,0.027977705001831055,0.0,0.0,0.0,0.0,0.0,0.8790365159511566,0.8790365159511566,0.0,0.8790365159511566,0.27135661244392395,0.0,0.27135661244392395,0.0,0.0
4,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would feel <mask> for him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37613699585199356,0.0,0.0,0.0,0.0,0.9112436547875404,0.0,0.9112436547875404,0.03953069448471069,0.0,0.24947692453861237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351066589355469,0.0,0.0,0.0,0.0,0.5351066589355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6617667302489281,0.6617667302489281,0.0,0.6617667302489281,0.6617667302489281,0.0,0.6222360357642174,0.0,0.0
5,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I would think that he should be <mask> for his present condition.,male,0.00576221858500503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028221850225236267,0.0,0.0035022884840145707,0.0,0.0,0.038282752386294305,0.20913709636079147,0.04851527119171806,0.0,0.0,0.0039105170872062445,0.38878136422135867,0.3192209027183708,0.06502985145198181,0.013000061793718487,0.027838559151859954,0.015077519637998194,0.01765459618763998,0.0,0.0005575608229264617,0.0,0.0,0.06374298973241821,0.030890013149473816,0.0009897722338791937,0.0009037710842676461,0.02800709055736661,0.0,0.002952342707430944,0.0003459801955614239,0.0003459801955614239,0.0,0.0,0.12340463016880676,0.0,0.12340463016880676,0.0,0.0,0.11379439596203156,0.0013331737136468291,0.04063798667630181,0.03443600866012275,0.060126872966066,0.01062017201911658,0.02420129653182812,0.0038446015678346157,0.01807501685107127,0.008009016164578497,0.003025705664185807,0.0039640532922931015,0.0010192572080995888,0.023326102818828076,0.001090853096684441,0.0011547894682735205,0.04658273363020271,0.0011085417645517737,0.02086145253269933,0.02048021709197201,0.00048349230200983584,0.0,0.01838850521016866,0.0016082195797935128,0.0,0.22552980453474447,0.06641043888521381,0.047182828915538266,0.058483592118136585,0.043463610782055184,0.059646537963999435,0.07434545829892159,0.06670476726139896,0.03003583534155041,0.048202226957073435
6,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I think his present condition is <mask>.,male,0.005935045279329643,0.004111708141863346,0.0010140789672732353,0.0,0.0,0.0,0.0010140789672732353,0.0,0.0030976291745901108,0.0,0.0013478291220963001,0.0,0.00047550801536999643,0.0,0.0,0.004920271836454049,0.34988794109085575,0.21555852281744592,0.0,0.0,0.0012445076135918498,0.4249566539074294,0.13878103424212895,0.2846906381601002,0.007261021732119843,0.009429362864466384,0.022637207177467644,0.00410969415679574,0.0,0.0,0.0,0.0010140789672732353,0.04460962855955586,0.012987714231712744,0.0008816548506729305,0.0060522960557136685,0.01373527041869238,0.005861464538611472,0.007412915583699942,0.0,0.0,0.0,0.0,0.034774230618495494,0.00037640504888258874,0.03377761572482996,0.0006202098447829485,0.0,0.2875125943683088,0.0,0.10446149136987515,0.02425733787822537,0.06878891299129464,0.14776702530798502,0.002326921618077904,0.13516003545373678,0.0,0.031648999836761504,0.001029765116982162,0.0028934056463185698,0.026375592045951635,0.02890883883810602,0.0,0.0,0.0005311309359967709,0.0,0.006718317803461105,0.009335239185020328,0.0009966148936655372,0.0,0.00833862429135479,0.0,0.0,0.08958422573050484,0.44712928956141695,0.05043646681588143,0.01566619341610931,0.0844417622720357,0.3895071232400369,0.017544280359288678,0.42989978747209534,0.015137809503357857,0.0381462360965088
7,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I feel <mask> by him.,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03349574207095429,0.040822618175297976,0.0,0.0,0.0,0.0,0.47796359041240066,0.03423889505211264,0.443724695360288,0.14918251102790236,0.11909708275925368,0.20573993411380798,0.02851243398617953,0.0,0.0,0.0,0.0,0.029625341878272593,0.011104862438514829,0.015334175201132894,0.001594622153788805,0.0023704124614596367,0.0,0.0,0.05543649848550558,0.0,0.0,0.05543649848550558,0.012513837544247508,0.0,0.007537299068644643,0.0,0.0,0.10250185150653124,0.0064876669785007834,0.004924682783894241,0.08598247333429754,0.0,0.07211983611341566,0.04183878208277747,0.0,0.0,0.03450015187263489,0.008566621923819184,0.025933529948815703,0.0,0.0,0.0,0.0,0.0,0.0020508947782218456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018406942836008966,0.28705029567936435,0.1839315528050065,0.0,0.024306241248268634,0.1907857331680134,0.010063902824185789,0.24817986570997164,0.019096206407994032,0.008590658428147435
8,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. I feel he is <mask>.,male,0.005995483021251857,0.0002537889813538641,0.0002537889813538641,0.0002537889813538641,0.0,0.0,0.0,0.0,0.0,0.0,0.0005586088227573782,0.0014569549821317196,0.0019998493371531367,0.0,0.0017262808978557587,0.12104960606666282,0.22973014874150977,0.012396541191264987,0.0,0.0,0.0,0.5145649248443078,0.10793240601196885,0.4055593048396986,0.05962469812948257,0.017146482627140358,0.274998963723192,0.015959134529111907,0.003452167147770524,0.0,0.0,0.0,0.03352735110092908,0.005009237094782293,0.0030669348780065775,0.010047564574051648,0.008518440852640197,0.005397662374889478,0.0030170290265232325,0.007611538661876693,0.0011220270826015621,0.0004885476664640009,0.00600096391281113,0.06082182633690536,0.0,0.04942819057032466,0.007956155110150576,0.0,0.22103411841089837,0.007785111054545268,0.03493780642747879,0.14227022029808722,0.011854272306663916,0.04662376092164777,0.030662558157928288,0.0022148528369143605,0.0014999532722868025,0.034458717302186415,0.011936724185943604,0.018478783691534773,0.004446217673830688,0.007903518853709102,0.0038870646385475993,0.004196135443635285,0.0008115503296721727,0.015100419579539448,0.17998953012283891,0.023834590072510764,0.007956155110150576,0.0,0.01587843496236019,0.0,0.0,0.07641024093027227,0.4989414123701863,0.2845080171828158,0.02038840131717734,0.28848178815678693,0.42844147529103793,0.04856985292281024,0.4515795765328221,0.01458897499833256,0.040257767745060846
9,heart disease,My friend is a 30 year-old single man with heart disease. Sometimes he hears voices and becomes upset. He lives alone in an apartment and works as a clerk at a large law firm. He had been hospitalized six times because of his illness. It is likely I would <mask> him.,male,0.02270189009141177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008895425125956535,0.013806464965455234,0.0,0.0,0.0,0.40496699447976425,0.006753549445420504,0.008895425125956535,0.0,0.0,0.0,0.43341435986803845,0.022485866909846663,0.4102489077486098,0.02513890399131924,0.13064846664201468,0.2373689473606646,0.22939539339859039,0.004005251335911453,0.011627386324107647,0.0,0.0,0.1033883056952618,0.0953846427728422,0.0037441980675794184,0.004259464854840189,0.0015973291592672467,0.0,0.0,0.03576431825058535,0.010231650434434414,0.001171795418485999,0.024360872397664934,0.019399446086026728,0.0024248164845630527,0.01151905715232715,0.001737979764584452,0.0,0.22497297154041007,0.1602246081456542,0.025721046840772033,0.18188017315696925,0.0084844526136294,0.023108980210963637,0.0033732231240719557,0.3718677833676338,0.0,0.045776724407915026,0.03951872751349583,0.0,0.00547250104136765,0.00657131033949554,0.0,0.0,0.000837755564134568,0.0,0.06093829567544162,0.0008652328397147357,0.0008652328397147357,0.0,0.0,0.0,0.0,0.06676607782719657,0.28154166764579713,0.14831396081717685,0.024884923943318427,0.07163095870055258,0.19756334595149383,0.02244691865053028,0.18491902283858508,0.057946835295297205,0.02187823341228068
