,features,pvalues
0,function,0.07270656342621434
1,pronoun,
2,ppron,
3,i,
4,we,
5,you,
6,shehe,
7,they,
8,ipron,
9,article,
10,prep,0.04196436524661589
11,auxverb,0.4833275492306268
12,adverb,0.013927484712886514
13,conj,
14,negate,
15,verb,0.7689181293435656
16,adj,0.979019971439304
17,compare,0.37407648939396576
18,interrog,
19,number,
20,quant,
21,affect,0.9148609267332076
22,posemo,0.11003658857451126
23,negemo,0.6918089510637793
24,anx,0.6215253105391831
25,anger,0.9917006127487743
26,sad,0.7559667656982665
27,social,0.6656901557108587
28,family,0.013586080459588517
29,friend,0.9745349605707385
30,female,
31,male,
32,cogproc,0.4004731214359797
33,insight,0.3045429658075624
34,cause,0.2128513887943605
35,discrep,0.14054666011613415
36,tentat,0.25448184637650545
37,certain,0.19893224795832995
38,differ,0.2324553900966477
39,percept,0.21485894011886084
40,see,0.7190917348359989
41,hear,0.11977925200958957
42,feel,0.947970522624835
43,bio,0.33296179775211143
44,body,0.2952350995703993
45,health,0.44819817114360094
46,sexual,0.0014412867907135213
47,ingest,0.09357096815114925
48,drives,0.9843676388704545
49,affiliation,0.7199524726509154
50,achieve,0.7967051959040723
51,power,0.07154444026186307
52,reward,0.484471730106076
53,risk,0.7996156433546477
54,focuspast,0.6712040767654374
55,focuspresent,0.9525172353572016
56,focusfuture,0.08365143761462117
57,relativ,0.9200638765021403
58,motion,0.10012044237336845
59,space,0.96169476717058
60,time,0.4453743283417677
61,work,0.48029020394862476
62,leisure,0.6743869450677374
63,home,
64,money,0.16547741238394836
65,relig,0.7198079040730405
66,death,0.7597108901556238
67,informal,0.19849790387355604
68,swear,0.2809728811022115
69,netspeak,
70,assent,0.1570440084348006
71,nonflu,0.013927484712886514
72,filler,
73,positive,0.7177504738355402
74,negative,0.8904165295109155
75,anger_nrc,0.7560593951407999
76,anticipation,0.6569409332947306
77,disgust,0.7833196756266485
78,fear,0.9150197796037308
79,joy,0.012149274611043032
80,sadness,0.9198706428386803
81,surprise,0.7160678326098062
82,trust,0.32372828614108007
