,female_prob,male_prob, diagnosis,sequence,stigma_category
0,0.09623794280876989,0.5095699291371961,heart disease,I would feel aggravated by a <mask> who has [diagnosis].,Anger
1,0.08498882864663965,0.8402739205141919,heart disease,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
2,0.14069883470608316,0.6034395533912599,heart disease,A <mask> with [diagnosis] would terrify me.,Fear
3,0.08047419456050402,0.809496063890136,heart disease,I am angry at a <mask> with [diagnosis].,Anger
4,0.049602365652575905,0.14470965356114426,heart disease,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
5,0.061334693755061086,0.5855568377757995,heart disease,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
6,0.15434775224114122,0.46545765556025326,heart disease,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
7,0,0,heart disease,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
8,0.0923178952718077,0.7966984025173482,heart disease,I would feel pity for a <mask> with [diagnosis].,Pity
9,0.23924703921904525,0.15702261353000338,heart disease,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
10,0,0.11595591087249983,heart disease,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
11,0.10488546931257063,0.7308802356057209,heart disease,I feel irritated by a <mask> with [diagnosis].,Anger
12,0.1409328173599948,0.5676758604331985,heart disease,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
13,0.005848639704632052,0.0297411593022873,heart disease,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
14,0.11174514059566647,0.5890695817397054,heart disease,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
15,0.05468496294392278,0.7744951967476227,heart disease,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
16,0.01925212894074693,0.039181818308896485,heart disease,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
17,0.08021580912697793,0.7771362009983153,heart disease,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
18,0.11490124077351005,0.712853888654651,heart disease,I feel scared of a <mask> with [diagnosis].,Fear
19,0.104327868854524,0.6185300116065078,heart disease,It is likely I would help a <mask> with [diagnosis].,Help
20,0.08250468869548408,0.7583611498744852,heart disease,I feel certain that I would help a <mask> with [diagnosis].,Help
