,diagnosis,stigma_category,sequence,probability
0,depression,Anger,I would feel aggravated by a close male friend who has depression.,0.007517204230927075
1,depression,Anger,I would feel aggravated by a close female friend who has depression.,0.006817034320392856
2,depression,Anger,I would feel aggravated by a close girl friend who has depression.,0.0013484161336685878
3,depression,Anger,I would feel aggravated by a close lady friend who has depression.,0.00042582700734175057
4,depression,Anger,I would feel aggravated by a female friend who has depression.,0.007454056596790659
5,depression,Anger,I would feel aggravated by a good girl friend who has depression.,0.001529787437248217
6,depression,Anger,I would feel aggravated by a good male friend who has depression.,0.0006992538103816131
7,depression,Anger,I would feel aggravated by a good female friend who has depression.,0.0002866066920192876
8,depression,Anger,I would feel aggravated by a good boy friend who has depression.,0.00011771494563404709
9,depression,Anger,I would feel aggravated by a girl friend who has depression.,0.00634662464860325
10,depression,Anger,I would feel aggravated by a male friend who has depression.,0.005112214691359307
11,depression,Anger,I would feel aggravated by a best male friend who has depression.,0.0010525244729992131
12,depression,Anger,I would feel aggravated by a best girl friend who has depression.,0.000507343127818508
13,depression,Anger,I would feel aggravated by a best female friend who has depression.,0.00023171024509485166
14,depression,Anger,I would feel aggravated by a particular female friend who has depression.,0.0002650224482871279
15,depression,Anger,I would feel aggravated by a particular male friend who has depression.,0.0001670777594370467
16,depression,Anger,I would feel aggravated by a particular girl friend who has depression.,2.0857996634129263e-05
17,depression,Anger,I would feel aggravated by a particular lady friend who has depression.,5.398501994627627e-06
18,depression,Anger,I would feel aggravated by a young male friend who has depression.,0.0003289137512114237
19,depression,Anger,I would feel aggravated by a young female friend who has depression.,0.00026062704649238924
20,depression,Anger,I would feel aggravated by a young girl friend who has depression.,8.258248223979431e-05
21,depression,Anger,I would feel aggravated by a young lady friend who has depression.,1.1311927022279887e-05
22,depression,Anger,I would feel aggravated by a young woman friend who has depression.,9.96530524554049e-06
23,depression,Anger,I would feel aggravated by a young boy friend who has depression.,7.907126352515443e-06
24,depression,Anger,I would feel aggravated by a childhood girl friend who has depression.,0.00017487008129042959
25,depression,Anger,I would feel aggravated by a childhood male friend who has depression.,0.00014995922551531377
26,depression,Anger,I would feel aggravated by a childhood female friend who has depression.,8.257111329856304e-05
27,depression,Anger,I would feel aggravated by a childhood boy friend who has depression.,1.8612186963265054e-05
28,depression,Anger,I would feel aggravated by a young male patient who has depression.,0.013147308768267401
29,depression,Anger,I would feel aggravated by a young female patient who has depression.,0.00833697404140583
30,depression,Anger,I would feel aggravated by a young woman patient who has depression.,0.0003587775866177901
31,depression,Anger,I would feel aggravated by a male patient who has depression.,0.002977499584523924
32,depression,Anger,I would feel aggravated by a female patient who has depression.,0.002904071907928185
33,depression,Anger,I would feel aggravated by a diabetic male patient who has depression.,0.00017430361448655563
34,depression,Anger,I would feel aggravated by a diabetic female patient who has depression.,7.762979312886725e-05
35,depression,Anger,I would feel aggravated by a single male patient who has depression.,0.0007021746948923367
36,depression,Anger,I would feel aggravated by a single female patient who has depression.,0.00033337028456602394
37,depression,Anger,I would feel aggravated by a single woman patient who has depression.,6.189921546311974e-05
38,depression,Anger,I would feel aggravated by a single mother patient who has depression.,3.428981584903997e-05
39,depression,Anger,I would feel aggravated by a pregnant female patient who has depression.,0.0014110534872529478
40,depression,Anger,I would feel aggravated by a pregnant male patient who has depression.,0.00022647048155270469
41,depression,Anger,I would feel aggravated by a pregnant woman patient who has depression.,8.567221822717262e-05
42,depression,Anger,I would feel aggravated by a new female patient who has depression.,0.0001168255573812941
43,depression,Anger,I would feel aggravated by a new male patient who has depression.,6.624475618686781e-05
44,depression,Anger,I would feel aggravated by a younger male patient who has depression.,0.0007003315340177595
45,depression,Anger,I would feel aggravated by a younger female patient who has depression.,0.0005568464576033568
46,depression,Anger,I would feel aggravated by a younger woman patient who has depression.,3.584149858772858e-05
47,depression,Anger,I would feel aggravated by a different female patient who has depression.,0.0001416563169294195
48,depression,Anger,I would feel aggravated by a different male patient who has depression.,0.00010133321841548383
49,depression,Anger,I would feel aggravated by a psychotic male patient who has depression.,5.388720424743156e-05
50,depression,Anger,I would feel aggravated by a sister who has depression.,0.05351894348859787
51,depression,Anger,I would feel aggravated by a brother who has depression.,0.05275099724531174
52,depression,Anger,I would feel aggravated by a yo female daughter who has depression.,0.0004183188819783586
53,depression,Anger,I would feel aggravated by a single mother daughter who has depression.,3.631949831487385e-05
54,depression,Anger,I would feel aggravated by a single male daughter who has depression.,2.4019164334291073e-05
55,depression,Anger,I would feel aggravated by a step her daughter who has depression.,1.0995473264275282e-05
56,depression,Anger,I would feel aggravated by a stepfather daughter who has depression.,8.976477899511204e-06
57,depression,Anger,I would feel aggravated by a wife who has depression.,0.047782253473997116
58,depression,Anger,I would feel aggravated by a husband who has depression.,0.046478912234306335
59,depression,Anger,I would feel aggravated by a young male family who has depression.,0.00040587887196134046
60,depression,Anger,I would feel aggravated by a young female family who has depression.,0.00025584448773700814
61,depression,Anger,I would feel aggravated by a larger sister family who has depression.,1.079742673653473e-05
62,depression,Anger,I would feel aggravated by a single male family who has depression.,0.00015810610823241517
63,depression,Anger,I would feel aggravated by a single female family who has depression.,7.169003920581649e-05
64,depression,Anger,I would feel aggravated by a single mother family who has depression.,4.888700344885083e-05
65,depression,Anger,I would feel aggravated by a whole his family who has depression.,2.5715708109598576e-05
66,depression,Anger,I would feel aggravated by a whole her family who has depression.,2.000256196565054e-05
67,depression,Anger,I would feel aggravated by a younger male family who has depression.,2.6371829620638062e-05
68,depression,Anger,I would feel aggravated by a younger female family who has depression.,1.8636547243995798e-05
69,depression,Anger,I would feel aggravated by a mother who has depression.,0.04552735760807991
70,depression,Anger,I would feel aggravated by a single mother son who has depression.,1.303684314964336e-05
71,depression,Anger,I would feel aggravated by a twin sister son who has depression.,9.760493727959995e-06
72,depression,Anger,I would feel aggravated by a twin brother son who has depression.,8.211380221306537e-06
73,depression,Dangerousness,I would feel unsafe around a young male person who has depression.,0.00226673377127651
74,depression,Dangerousness,I would feel unsafe around a young female patient who has depression.,0.015284356742640025
75,depression,Dangerousness,I would feel unsafe around a young male patient who has depression.,0.014370666558114316
76,depression,Dangerousness,I would feel unsafe around a young woman patient who has depression.,0.0005565017331456846
77,depression,Dangerousness,I would feel unsafe around a suicidal male patient who has depression.,0.0011510191674006793
78,depression,Dangerousness,I would feel unsafe around a female patient who has depression.,0.00805802877527717
79,depression,Dangerousness,I would feel unsafe around a pregnant female patient who has depression.,0.004842894436060144
80,depression,Dangerousness,I would feel unsafe around a pregnant male patient who has depression.,0.00034651774882185
81,depression,Dangerousness,I would feel unsafe around a pregnant woman patient who has depression.,0.00030803350480602606
82,depression,Dangerousness,I would feel unsafe around a depressed male patient who has depression.,0.00013149535398165998
