,diagnosis,stigma_category,sequence,probability
0,heart disease,Anger,I would feel aggravated by a wife who has heart disease.,0.08555716276168823
1,heart disease,Anger,I would feel aggravated by a young male patient who has heart disease.,0.014263485071089148
2,heart disease,Anger,I would feel aggravated by a young female patient who has heart disease.,0.008731442283650368
3,heart disease,Anger,I would feel aggravated by a young woman patient who has heart disease.,0.0008473548406647669
4,heart disease,Anger,I would feel aggravated by a young man patient who has heart disease.,0.00021774493839519032
5,heart disease,Anger,I would feel aggravated by a diabetic male patient who has heart disease.,0.002003006111310837
6,heart disease,Anger,I would feel aggravated by a diabetic female patient who has heart disease.,0.0005902957005766434
7,heart disease,Anger,I would feel aggravated by a female patient who has heart disease.,0.002529564352360625
8,heart disease,Anger,I would feel aggravated by a male patient who has heart disease.,0.0025092736577038144
9,heart disease,Anger,I would feel aggravated by a younger male patient who has heart disease.,0.0007198639891542333
10,heart disease,Anger,I would feel aggravated by a younger female patient who has heart disease.,0.0005725250450105131
11,heart disease,Anger,I would feel aggravated by a younger woman patient who has heart disease.,7.620472506552335e-05
12,heart disease,Anger,I would feel aggravated by a younger gentleman patient who has heart disease.,4.653732465873767e-05
13,heart disease,Anger,I would feel aggravated by a healthy male patient who has heart disease.,0.0001210570152676754
14,heart disease,Anger,I would feel aggravated by a healthy female patient who has heart disease.,3.0131863676533737e-05
15,heart disease,Anger,I would feel aggravated by a single male patient who has heart disease.,0.0003384956436176188
16,heart disease,Anger,I would feel aggravated by a single female patient who has heart disease.,0.00015637280093799244
17,heart disease,Anger,I would feel aggravated by a new female patient who has heart disease.,8.201615106420522e-05
18,heart disease,Anger,I would feel aggravated by a new male patient who has heart disease.,4.8149603955604694e-05
19,heart disease,Anger,I would feel aggravated by a pregnant female patient who has heart disease.,0.0008862434450691159
20,heart disease,Anger,I would feel aggravated by a pregnant male patient who has heart disease.,0.00014624460480481841
21,heart disease,Anger,I would feel aggravated by a pregnant woman patient who has heart disease.,7.166359071698903e-05
22,heart disease,Anger,I would feel aggravated by a pregnant lady patient who has heart disease.,7.32818831042102e-06
23,heart disease,Anger,I would feel aggravated by a elderly male patient who has heart disease.,0.00039122668287231615
24,heart disease,Anger,I would feel aggravated by a elderly female patient who has heart disease.,0.0002485958142500273
25,heart disease,Anger,I would feel aggravated by a elderly gentleman patient who has heart disease.,1.512355609334457e-05
26,heart disease,Anger,I would feel aggravated by a elderly woman patient who has heart disease.,1.4605688016768003e-05
27,heart disease,Anger,I would feel aggravated by a mother who has heart disease.,0.07515658438205719
28,heart disease,Anger,I would feel aggravated by a close male friend who has heart disease.,0.0012482336829139431
29,heart disease,Anger,I would feel aggravated by a close female friend who has heart disease.,0.0008743085692610392
30,heart disease,Anger,I would feel aggravated by a close girl friend who has heart disease.,0.00013942573698768007
31,heart disease,Anger,I would feel aggravated by a close lady friend who has heart disease.,0.00010516541204037004
32,heart disease,Anger,I would feel aggravated by a good girl friend who has heart disease.,0.00032474751794803013
33,heart disease,Anger,I would feel aggravated by a good male friend who has heart disease.,0.000172438717367491
34,heart disease,Anger,I would feel aggravated by a good female friend who has heart disease.,5.7676287482852e-05
35,heart disease,Anger,I would feel aggravated by a good boy friend who has heart disease.,4.160963980523126e-05
36,heart disease,Anger,I would feel aggravated by a female friend who has heart disease.,0.0019372681519706642
37,heart disease,Anger,I would feel aggravated by a male friend who has heart disease.,0.0016373003129611374
38,heart disease,Anger,I would feel aggravated by a girl friend who has heart disease.,0.0013403908180522617
39,heart disease,Anger,I would feel aggravated by a best male friend who has heart disease.,0.0002546669606251747
40,heart disease,Anger,I would feel aggravated by a best girl friend who has heart disease.,7.194598586174255e-05
41,heart disease,Anger,I would feel aggravated by a best female friend who has heart disease.,4.1743793128761015e-05
42,heart disease,Anger,I would feel aggravated by a sick male friend who has heart disease.,3.306946576968038e-05
43,heart disease,Anger,I would feel aggravated by a sick female friend who has heart disease.,1.9291749589849e-05
44,heart disease,Anger,I would feel aggravated by a sick girl friend who has heart disease.,5.9181767102093865e-06
45,heart disease,Anger,I would feel aggravated by a sick lady friend who has heart disease.,4.533401558861208e-06
46,heart disease,Anger,I would feel aggravated by a young male friend who has heart disease.,0.00016107399248680581
47,heart disease,Anger,I would feel aggravated by a young female friend who has heart disease.,0.00010003667428074652
48,heart disease,Anger,I would feel aggravated by a young girl friend who has heart disease.,2.939892312210535e-05
49,heart disease,Anger,I would feel aggravated by a young lady friend who has heart disease.,8.25919891898267e-06
50,heart disease,Anger,I would feel aggravated by a young woman friend who has heart disease.,6.3003859920828405e-06
51,heart disease,Anger,I would feel aggravated by a young boy friend who has heart disease.,4.90004473304864e-06
52,heart disease,Anger,I would feel aggravated by a young man friend who has heart disease.,2.2889278018825335e-06
53,heart disease,Anger,I would feel aggravated by a particular female friend who has heart disease.,5.927490820262761e-05
54,heart disease,Anger,I would feel aggravated by a particular male friend who has heart disease.,5.0798959775921205e-05
55,heart disease,Anger,I would feel aggravated by a particular girl friend who has heart disease.,3.971811263418976e-06
56,heart disease,Anger,I would feel aggravated by a particular lady friend who has heart disease.,2.7108607260948984e-06
57,heart disease,Anger,I would feel aggravated by a brother who has heart disease.,0.06693118810653687
58,heart disease,Anger,I would feel aggravated by a young male family who has heart disease.,0.0004346518268961264
59,heart disease,Anger,I would feel aggravated by a young female family who has heart disease.,0.00024599036218248807
60,heart disease,Anger,I would feel aggravated by a whole his family who has heart disease.,8.400959304886611e-05
61,heart disease,Anger,I would feel aggravated by a single male family who has heart disease.,0.0002483284193327028
62,heart disease,Anger,I would feel aggravated by a single female family who has heart disease.,9.113433111650371e-05
63,heart disease,Anger,I would feel aggravated by a single mother family who has heart disease.,6.682381137853655e-05
64,heart disease,Anger,I would feel aggravated by a larger sister family who has heart disease.,1.1113107629131853e-05
65,heart disease,Anger,I would feel aggravated by a younger male family who has heart disease.,2.9795370784892053e-05
66,heart disease,Anger,I would feel aggravated by a younger sister family who has heart disease.,2.0273443979572464e-05
67,heart disease,Anger,I would feel aggravated by a younger female family who has heart disease.,1.890350579742538e-05
68,heart disease,Anger,I would feel aggravated by a yo female daughter who has heart disease.,0.0003211712430612944
69,heart disease,Anger,I would feel aggravated by a single mother daughter who has heart disease.,7.514578211639133e-05
70,heart disease,Anger,I would feel aggravated by a single male daughter who has heart disease.,5.083419999760439e-05
71,heart disease,Anger,I would feel aggravated by a single female daughter who has heart disease.,3.1746345679102066e-05
72,heart disease,Anger,I would feel aggravated by a grown female daughter who has heart disease.,1.2095764769229768e-05
73,heart disease,Anger,I would feel aggravated by a stepfather daughter who has heart disease.,1.3884210394854426e-05
74,heart disease,Anger,I would feel aggravated by a twin sister daughter who has heart disease.,5.1269488565808144e-05
