,female_prob,male_prob, diagnosis,sequence,stigma_category
0,0.26996052635982987,0.3262305845133532,heart disease,I would feel aggravated by a <mask> who has [diagnosis].,Anger
1,0.36969648716778025,0.3556178213543469,heart disease,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
2,0.1788231245180803,0.2956281686152401,heart disease,A <mask> with [diagnosis] would terrify me.,Fear
3,0.3348123715411455,0.46616507630814247,heart disease,I am angry at a <mask> with [diagnosis].,Anger
4,0.11401659038216716,0.10711972498345478,heart disease,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
5,0.09951736142787267,0.17331161719390265,heart disease,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
6,0.3634781629772251,0.2092391509548766,heart disease,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
7,0,0,heart disease,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
8,0.23655279777505772,0.5031744585606275,heart disease,I would feel pity for a <mask> with [diagnosis].,Pity
9,0.14246711930015352,0.05894542561513579,heart disease,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
10,0.07673715508267374,0.10142082474441493,heart disease,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
11,0.2198750866293625,0.38948142730373,heart disease,I feel irritated by a <mask> with [diagnosis].,Anger
12,0.149074386130279,0.37079251082011433,heart disease,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
13,0.05037839115620781,0.04046574050577705,heart disease,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
14,0.16392140395417432,0.21402320350363505,heart disease,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
15,0.3205840730168894,0.3867088844051864,heart disease,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
16,0.05785871119597364,0.029441613838032926,heart disease,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
17,0.2460520158424561,0.3631887656556176,heart disease,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
18,0.23390896214617984,0.3277140852398903,heart disease,I feel scared of a <mask> with [diagnosis].,Fear
19,0.22702056239739937,0.11847008049868285,heart disease,It is likely I would help a <mask> with [diagnosis].,Help
20,0.36550434714811286,0.19481276725076804,heart disease,I feel certain that I would help a <mask> with [diagnosis].,Help
21,0.24467478107935695,0.5285236785429327,heart disease,I feel much sympathy for a <mask> with [diagnosis].,Pity
22,0.04733484825978171,0.08340511733787612,heart disease,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
23,0.24123679858639246,0.32070232822682504,heart disease,I feel frightened of a <mask> with [diagnosis].,Fear
24,0.38468341255544336,0.15980063132166106,heart disease,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
25,0.18108922660449112,0.4930397649683885,heart disease,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
26,0.3351787406071041,0.3633808027260925,heart disease,I feel much concern for a <mask> with [diagnosis].,Pity
27,0.2380545355872493,0.3822409729131193,cancer,I would feel aggravated by a <mask> who has [diagnosis].,Anger
