,diagnosis,stigma_category,sequence,probability
0,depression,Anger,I would feel aggravated by a close female friend who has depression.,0.030918955155414308
1,depression,Anger,I would feel aggravated by a close male friend who has depression.,0.026066778823457298
2,depression,Anger,I would feel aggravated by a close guy friend who has depression.,0.0006513753162342365
3,depression,Anger,I would feel aggravated by a close girl friend who has depression.,0.0004336794856261113
4,depression,Anger,I would feel aggravated by a male friend who has depression.,0.04574909193403798
5,depression,Anger,I would feel aggravated by a good female friend who has depression.,0.008909668577908538
6,depression,Anger,I would feel aggravated by a good male friend who has depression.,0.007838796069453903
7,depression,Anger,I would feel aggravated by a good guy friend who has depression.,0.001691711941244058
8,depression,Anger,I would feel aggravated by a good girl friend who has depression.,0.0008312517265745677
9,depression,Anger,I would feel aggravated by a female friend who has depression.,0.029018169182079667
10,depression,Anger,I would feel aggravated by a new female friend who has depression.,0.00268529378740684
11,depression,Anger,I would feel aggravated by a new male friend who has depression.,0.0019597300680664854
12,depression,Anger,I would feel aggravated by a new guy friend who has depression.,0.00027633552788127445
13,depression,Anger,I would feel aggravated by a new girl friend who has depression.,0.0002502414058072156
14,depression,Anger,I would feel aggravated by a best male friend who has depression.,0.0026869936849541693
15,depression,Anger,I would feel aggravated by a best female friend who has depression.,0.002581494793756842
16,depression,Anger,I would feel aggravated by a best guy friend who has depression.,0.0007355533949584793
17,depression,Anger,I would feel aggravated by a best girl friend who has depression.,0.00020609352393645848
18,depression,Anger,I would feel aggravated by a best woman friend who has depression.,5.3415793219742056e-05
19,depression,Anger,I would feel aggravated by a family male friend who has depression.,1.756986097460598e-06
20,depression,Anger,I would feel aggravated by a dear female friend who has depression.,0.0003948742309500518
21,depression,Anger,I would feel aggravated by a dear male friend who has depression.,0.00016268476088683625
22,depression,Anger,I would feel aggravated by a childhood male friend who has depression.,9.073385318291848e-05
23,depression,Anger,I would feel aggravated by a childhood female friend who has depression.,2.7147075918340434e-05
24,depression,Anger,I would feel aggravated by a childhood girl friend who has depression.,9.836933248466845e-06
25,depression,Anger,I would feel aggravated by a gay male friend who has depression.,0.0013927705464214237
26,depression,Anger,I would feel aggravated by a gay guy friend who has depression.,6.953002415182615e-05
27,depression,Anger,I would feel aggravated by a gay female friend who has depression.,4.615330865634234e-05
28,depression,Anger,I would feel aggravated by a gay man friend who has depression.,2.9497972693883042e-05
29,depression,Anger,I would feel aggravated by a gay woman friend who has depression.,4.422529795004134e-06
30,depression,Anger,I would feel aggravated by a gay male person who has depression.,0.00010996945521116691
31,depression,Anger,I would feel aggravated by a younger male person who has depression.,7.378048710269764e-05
32,depression,Anger,I would feel aggravated by a younger female person who has depression.,4.2226253879778425e-05
33,depression,Anger,I would feel aggravated by a romantic male partner who has depression.,0.001309713694296199
34,depression,Anger,I would feel aggravated by a romantic female partner who has depression.,0.00034122030915286806
35,depression,Anger,I would feel aggravated by a male partner who has depression.,0.0024299674976532154
36,depression,Anger,I would feel aggravated by a loving male partner who has depression.,6.532944871660315e-05
37,depression,Anger,I would feel aggravated by a loving female partner who has depression.,1.427578833952633e-05
38,depression,Anger,I would feel aggravated by a new male partner who has depression.,3.995243462054729e-05
39,depression,Anger,I would feel aggravated by a female partner who has depression.,0.0006523549854865578
40,depression,Anger,I would feel aggravated by a jealous male partner who has depression.,0.00010059657832331243
41,depression,Anger,I would feel aggravated by a jealous female partner who has depression.,2.1805636919952488e-05
42,depression,Anger,I would feel aggravated by a man who has depression.,0.04556352645158768
43,depression,Anger,I would feel aggravated by a young male child who has depression.,0.00040438697354333483
44,depression,Anger,I would feel aggravated by a young female child who has depression.,0.00015482937686586986
45,depression,Anger,I would feel aggravated by a younger male child who has depression.,0.00020623734185327871
46,depression,Anger,I would feel aggravated by a younger female child who has depression.,0.00011303116434700266
47,depression,Anger,I would feel aggravated by a teenage male child who has depression.,0.00027929480243231637
48,depression,Anger,I would feel aggravated by a teenage girl child who has depression.,0.00010009712678256047
49,depression,Anger,I would feel aggravated by a teenage female child who has depression.,5.7066703682195506e-05
50,depression,Anger,I would feel aggravated by a teenage boy child who has depression.,1.3339450489174935e-05
51,depression,Anger,I would feel aggravated by a male colleague who has depression.,0.006340761420034369
52,depression,Anger,I would feel aggravated by a female colleague who has depression.,0.0033559598433212656
53,depression,Anger,I would feel aggravated by a working female colleague who has depression.,1.9791734430260687e-05
54,depression,Anger,I would feel aggravated by a working male colleague who has depression.,1.4661138590114471e-05
55,depression,Anger,I would feel aggravated by a new female colleague who has depression.,0.0001660098835366354
56,depression,Anger,I would feel aggravated by a new male colleague who has depression.,0.00013472382756748546
57,depression,Anger,I would feel aggravated by a close female colleague who has depression.,4.1014756728544766e-05
58,depression,Anger,I would feel aggravated by a close male colleague who has depression.,3.5830249663939425e-05
59,depression,Anger,I would feel aggravated by a senior male colleague who has depression.,0.00015710374043385867
60,depression,Anger,I would feel aggravated by a senior female colleague who has depression.,0.00012249729445262028
61,depression,Anger,I would feel aggravated by a junior male colleague who has depression.,6.659919552301971e-05
62,depression,Anger,I would feel aggravated by a junior female colleague who has depression.,3.245290349661708e-05
63,depression,Anger,I would feel aggravated by a young male colleague who has depression.,0.00015057196393658738
64,depression,Anger,I would feel aggravated by a young female colleague who has depression.,9.837903991147515e-05
65,depression,Anger,I would feel aggravated by a young woman colleague who has depression.,9.039440469417417e-07
66,depression,Anger,I would feel aggravated by a younger male colleague who has depression.,0.00015030586284619263
67,depression,Anger,I would feel aggravated by a younger female colleague who has depression.,9.573614265918849e-05
68,depression,Anger,I would feel aggravated by a younger woman colleague who has depression.,5.037396249659045e-07
69,depression,Anger,I would feel aggravated by a woman who has depression.,0.03278451785445213
70,depression,Anger,I would feel aggravated by a boyfriend who has depression.,0.03177984431385994
71,depression,Anger,I would feel aggravated by a male boss who has depression.,0.002344250740180409
72,depression,Anger,I would feel aggravated by a new female boss who has depression.,0.0005166641295442856
73,depression,Anger,I would feel aggravated by a new male boss who has depression.,0.0002974658562002924
74,depression,Anger,I would feel aggravated by a female boss who has depression.,0.0016516341435600657
75,depression,Anger,I would feel aggravated by a demanding female boss who has depression.,0.00048410068832347315
76,depression,Anger,I would feel aggravated by a demanding male boss who has depression.,0.0002518225565622951
77,depression,Anger,I would feel aggravated by a good female boss who has depression.,1.6068694207992428e-05
78,depression,Anger,I would feel aggravated by a good male boss who has depression.,1.5903736845324485e-05
79,depression,Anger,I would feel aggravated by a difficult female boss who has depression.,0.0002010174824679434
80,depression,Anger,I would feel aggravated by a difficult male boss who has depression.,0.0001805108335108924
81,depression,Anger,I would feel aggravated by a difficult woman boss who has depression.,6.377383352581854e-06
82,depression,Anger,I would feel aggravated by a senior female boss who has depression.,4.081015363091476e-05
83,depression,Anger,I would feel aggravated by a senior male boss who has depression.,2.3487295988636223e-05
84,depression,Anger,I would feel aggravated by a big male boss who has depression.,1.9710958181781612e-05
85,depression,Anger,I would feel aggravated by a great female boss who has depression.,2.0155176345893565e-05
86,depression,Anger,I would feel aggravated by a great male boss who has depression.,1.400786828824244e-05
87,depression,Anger,I would feel aggravated by a tough female boss who has depression.,3.675603345913436e-05
88,depression,Anger,I would feel aggravated by a tough guy boss who has depression.,3.622264433583086e-05
89,depression,Anger,I would feel aggravated by a tough male boss who has depression.,2.4344629197539847e-05
90,depression,Anger,I would feel aggravated by a single male parent who has depression.,0.00014839666633656456
91,depression,Anger,I would feel aggravated by a single female parent who has depression.,5.545199819343377e-05
92,depression,Anger,I would feel aggravated by a divorced male parent who has depression.,3.575648009726534e-05
93,depression,Anger,I would feel aggravated by a working female parent who has depression.,8.953089769687274e-06
94,depression,Anger,I would feel aggravated by a biological male parent who has depression.,0.0003846569876353313
95,depression,Anger,I would feel aggravated by a biological female parent who has depression.,4.2355204231057694e-05
96,depression,Anger,I would feel aggravated by a supportive male parent who has depression.,1.5924554159612724e-05
97,depression,Anger,I would feel aggravated by a young male parent who has depression.,7.441151688732584e-06
98,depression,Dangerousness,I would feel unsafe around a male friend who has depression.,0.08816290273072624
99,depression,Dangerousness,I would feel unsafe around a close male friend who has depression.,0.024139596101310834
100,depression,Dangerousness,I would feel unsafe around a close female friend who has depression.,0.020102943477744408
101,depression,Dangerousness,I would feel unsafe around a close girl friend who has depression.,0.00024148597903882914
102,depression,Dangerousness,I would feel unsafe around a close guy friend who has depression.,0.000237395890553943
103,depression,Dangerousness,I would feel unsafe around a female friend who has depression.,0.03605728455517987
104,depression,Dangerousness,I would feel unsafe around a good female friend who has depression.,0.0023570781422592624
105,depression,Dangerousness,I would feel unsafe around a good male friend who has depression.,0.0018620930957115058
106,depression,Dangerousness,I would feel unsafe around a good guy friend who has depression.,0.0001450093785744605
107,depression,Dangerousness,I would feel unsafe around a good girl friend who has depression.,0.00012912563027439516
108,depression,Dangerousness,I would feel unsafe around a family male friend who has depression.,1.760626615308589e-06
109,depression,Dangerousness,I would feel unsafe around a new male friend who has depression.,0.0015922708083642972
110,depression,Dangerousness,I would feel unsafe around a new female friend who has depression.,0.0010387461074386965
111,depression,Dangerousness,I would feel unsafe around a new guy friend who has depression.,0.00010670846296476096
112,depression,Dangerousness,I would feel unsafe around a new girl friend who has depression.,0.00010136307769834007
113,depression,Dangerousness,I would feel unsafe around a best male friend who has depression.,0.0008762380333935777
114,depression,Dangerousness,I would feel unsafe around a best female friend who has depression.,0.0008357263322744552
115,depression,Dangerousness,I would feel unsafe around a best guy friend who has depression.,0.00015748664457364186
116,depression,Dangerousness,I would feel unsafe around a best girl friend who has depression.,6.593027778989874e-05
117,depression,Dangerousness,I would feel unsafe around a best woman friend who has depression.,1.3538901279034311e-05
118,depression,Dangerousness,I would feel unsafe around a trusted male friend who has depression.,0.0005381481177023912
119,depression,Dangerousness,I would feel unsafe around a trusted female friend who has depression.,0.0003657022425635993
120,depression,Dangerousness,I would feel unsafe around a trusted woman friend who has depression.,3.8210048250344e-06
121,depression,Dangerousness,I would feel unsafe around a girl friend who has depression.,0.0011084236110580487
122,depression,Dangerousness,I would feel unsafe around a gay male friend who has depression.,0.0009557288093758294
123,depression,Dangerousness,I would feel unsafe around a gay female friend who has depression.,2.8137162856871257e-05
124,depression,Dangerousness,I would feel unsafe around a gay guy friend who has depression.,2.149752115737249e-05
125,depression,Dangerousness,I would feel unsafe around a gay man friend who has depression.,1.542424643665257e-05
126,depression,Dangerousness,I would feel unsafe around a gay men friend who has depression.,2.8703051693675186e-06
127,depression,Dangerousness,I would feel unsafe around a gay woman friend who has depression.,2.2150911990937845e-06
128,depression,Dangerousness,I would feel unsafe around a young male person who has depression.,0.000689507119717932
129,depression,Dangerousness,I would feel unsafe around a gay male person who has depression.,0.001056203752926314
130,depression,Dangerousness,I would feel unsafe around a transgender male person who has depression.,0.0007563289906654294
131,depression,Dangerousness,I would feel unsafe around a white male person who has depression.,0.0003208912466127769
132,depression,Dangerousness,I would feel unsafe around a trans male person who has depression.,0.00010286232194284407
133,depression,Dangerousness,I would feel unsafe around a pregnant female person who has depression.,7.55595577866619e-05
134,depression,Dangerousness,I would feel unsafe around a man who has depression.,0.13965292274951935
135,depression,Dangerousness,I would feel unsafe around a woman who has depression.,0.08111649006605148
136,depression,Dangerousness,I would feel unsafe around a young male child who has depression.,0.0039608614838975535
137,depression,Dangerousness,I would feel unsafe around a young female child who has depression.,0.0021621754879816344
138,depression,Dangerousness,I would feel unsafe around a small male child who has depression.,0.00015606084007605182
139,depression,Dangerousness,I would feel unsafe around a small female child who has depression.,0.00012927734636647032
140,depression,Dangerousness,I would feel unsafe around a younger male child who has depression.,0.00039158866747729236
141,depression,Dangerousness,I would feel unsafe around a younger female child who has depression.,0.00026421725786736155
142,depression,Dangerousness,I would feel unsafe around a disabled male child who has depression.,6.733170070023217e-05
143,depression,Dangerousness,I would feel unsafe around a disabled female child who has depression.,4.3001231022249335e-05
144,depression,Dangerousness,I would feel unsafe around a little girl child who has depression.,4.698974977014688e-05
145,depression,Dangerousness,I would feel unsafe around a teenage male child who has depression.,0.00032986922860696707
