,diagnosis,stigma_category,sequence,probability
0,heart disease,Anger,I would feel aggravated by a close female friend who has heart disease.,0.004721134895023171
1,heart disease,Anger,I would feel aggravated by a close male friend who has heart disease.,0.002053355317816298
2,heart disease,Anger,I would feel aggravated by a close guy friend who has heart disease.,0.0007275914601780155
3,heart disease,Anger,I would feel aggravated by a close lady friend who has heart disease.,0.0005198607119164704
4,heart disease,Anger,I would feel aggravated by a good guy friend who has heart disease.,0.004423424084065641
5,heart disease,Anger,I would feel aggravated by a good male friend who has heart disease.,0.0006114815617276634
6,heart disease,Anger,I would feel aggravated by a good female friend who has heart disease.,0.0005996486999176548
7,heart disease,Anger,I would feel aggravated by a good lady friend who has heart disease.,0.00030361196898268567
8,heart disease,Anger,I would feel aggravated by a female friend who has heart disease.,0.008871698217500779
9,heart disease,Anger,I would feel aggravated by a male friend who has heart disease.,0.004528437887574288
10,heart disease,Anger,I would feel aggravated by a mutual female friend who has heart disease.,0.000447972490140855
11,heart disease,Anger,I would feel aggravated by a mutual male friend who has heart disease.,0.000215879189992693
12,heart disease,Anger,I would feel aggravated by a mutual guy friend who has heart disease.,0.00012151511446271884
13,heart disease,Anger,I would feel aggravated by a mutual lady friend who has heart disease.,4.261950608510859e-05
14,heart disease,Anger,I would feel aggravated by a best guy friend who has heart disease.,0.000694228482866224
15,heart disease,Anger,I would feel aggravated by a best male friend who has heart disease.,0.0003790485440251575
16,heart disease,Anger,I would feel aggravated by a best girl friend who has heart disease.,0.0003515126933987027
17,heart disease,Anger,I would feel aggravated by a best female friend who has heart disease.,0.00026959048388764973
18,heart disease,Anger,I would feel aggravated by a best lady friend who has heart disease.,0.0002143409912231716
19,heart disease,Anger,I would feel aggravated by a best man friend who has heart disease.,9.611168893602314e-05
20,heart disease,Anger,I would feel aggravated by a dear female friend who has heart disease.,0.0001085695050102014
21,heart disease,Anger,I would feel aggravated by a dear lady friend who has heart disease.,9.539694236309846e-05
22,heart disease,Anger,I would feel aggravated by a dear guy friend who has heart disease.,5.388647792289759e-05
23,heart disease,Anger,I would feel aggravated by a new female friend who has heart disease.,0.00011454784860120494
24,heart disease,Anger,I would feel aggravated by a new guy friend who has heart disease.,7.040403208318139e-05
25,heart disease,Anger,I would feel aggravated by a new lady friend who has heart disease.,5.796107336263599e-05
26,heart disease,Anger,I would feel aggravated by a new male friend who has heart disease.,4.657822794700586e-05
27,heart disease,Anger,I would feel aggravated by a new girl friend who has heart disease.,3.729905704320264e-05
28,heart disease,Anger,I would feel aggravated by a guy friend who has heart disease.,0.002256625260415035
29,heart disease,Anger,I would feel aggravated by a woman who has heart disease.,0.09129921346902847
30,heart disease,Anger,I would feel aggravated by a man who has heart disease.,0.06518379598855972
31,heart disease,Anger,I would feel aggravated by a guy who has heart disease.,0.051999397575855255
32,heart disease,Anger,I would feel aggravated by a single male patient who has heart disease.,1.3123075806411886e-05
33,heart disease,Anger,I would feel aggravated by a single female patient who has heart disease.,1.2104541498250315e-05
34,heart disease,Anger,I would feel aggravated by a complete male stranger who has heart disease.,0.00026394409934074023
35,heart disease,Anger,I would feel aggravated by a random male stranger who has heart disease.,2.8791402007490413e-05
