,diagnosis,stigma_category,sequence,probability
0,heart disease,Anger,I would feel aggravated by a close female friend who has heart disease.,0.013947310068736353
1,heart disease,Anger,I would feel aggravated by a close male friend who has heart disease.,0.012144287948023804
2,heart disease,Anger,I would feel aggravated by a close guy friend who has heart disease.,0.00034273210337820937
3,heart disease,Anger,I would feel aggravated by a close lady friend who has heart disease.,0.0002697955915245521
4,heart disease,Anger,I would feel aggravated by a good female friend who has heart disease.,0.0027696476254556795
5,heart disease,Anger,I would feel aggravated by a good male friend who has heart disease.,0.002489258440752039
6,heart disease,Anger,I would feel aggravated by a good guy friend who has heart disease.,0.0008734420402722548
7,heart disease,Anger,I would feel aggravated by a male friend who has heart disease.,0.012187231683850608
8,heart disease,Anger,I would feel aggravated by a female friend who has heart disease.,0.011331530433518866
9,heart disease,Anger,I would feel aggravated by a new female friend who has heart disease.,0.001698928382715883
10,heart disease,Anger,I would feel aggravated by a new male friend who has heart disease.,0.0013878314042710812
11,heart disease,Anger,I would feel aggravated by a new guy friend who has heart disease.,0.00024103376589610558
12,heart disease,Anger,I would feel aggravated by a new lady friend who has heart disease.,0.0002169275738425511
13,heart disease,Anger,I would feel aggravated by a new girl friend who has heart disease.,0.00010801635988712575
14,heart disease,Anger,I would feel aggravated by a family male friend who has heart disease.,5.909831508393588e-06
15,heart disease,Anger,I would feel aggravated by a best female friend who has heart disease.,0.0016499522601096499
16,heart disease,Anger,I would feel aggravated by a best male friend who has heart disease.,0.0015786774721397337
17,heart disease,Anger,I would feel aggravated by a best guy friend who has heart disease.,0.0004346246950068292
18,heart disease,Anger,I would feel aggravated by a best girl friend who has heart disease.,7.789776416329558e-05
19,heart disease,Anger,I would feel aggravated by a best woman friend who has heart disease.,6.041027236291713e-05
20,heart disease,Anger,I would feel aggravated by a diabetic male friend who has heart disease.,6.121463000807807e-05
21,heart disease,Anger,I would feel aggravated by a diabetic female friend who has heart disease.,5.113620272644062e-05
22,heart disease,Anger,I would feel aggravated by a dear female friend who has heart disease.,0.00024667085965416995
23,heart disease,Anger,I would feel aggravated by a dear male friend who has heart disease.,9.655496570018214e-05
24,heart disease,Anger,I would feel aggravated by a dear lady friend who has heart disease.,2.2160991614093935e-05
25,heart disease,Anger,I would feel aggravated by a healthy male friend who has heart disease.,0.0006106026978050628
26,heart disease,Anger,I would feel aggravated by a healthy female friend who has heart disease.,0.0005214042397097642
27,heart disease,Anger,I would feel aggravated by a healthy guy friend who has heart disease.,4.0748812147340525e-05
28,heart disease,Anger,I would feel aggravated by a younger male person who has heart disease.,9.712481063221486e-05
29,heart disease,Anger,I would feel aggravated by a gay male person who has heart disease.,5.959007328545939e-05
30,heart disease,Anger,I would feel aggravated by a white male person who has heart disease.,5.634640730684145e-05
31,heart disease,Anger,I would feel aggravated by a man who has heart disease.,0.08345438539981842
32,heart disease,Anger,I would feel aggravated by a woman who has heart disease.,0.05230356752872467
33,heart disease,Anger,I would feel aggravated by a new female doctor who has heart disease.,5.361108816540341e-05
34,heart disease,Anger,I would feel aggravated by a new male doctor who has heart disease.,3.112539890119688e-05
35,heart disease,Anger,I would feel aggravated by a female doctor who has heart disease.,0.0020455685844771726
36,heart disease,Anger,I would feel aggravated by a male doctor who has heart disease.,0.0008780546620016164
37,heart disease,Anger,I would feel aggravated by a young female doctor who has heart disease.,0.0002666563399575217
38,heart disease,Anger,I would feel aggravated by a young male doctor who has heart disease.,0.00014550323148152414
39,heart disease,Anger,I would feel aggravated by a young woman doctor who has heart disease.,2.0520407298227135e-05
40,heart disease,Anger,I would feel aggravated by a young lady doctor who has heart disease.,1.7297260290942528e-05
41,heart disease,Anger,I would feel aggravated by a young male child who has heart disease.,0.0002452470476026268
42,heart disease,Anger,I would feel aggravated by a younger male child who has heart disease.,0.00011023775651523835
43,heart disease,Anger,I would feel aggravated by a younger female child who has heart disease.,5.918726971645311e-05
44,heart disease,Anger,I would feel aggravated by a teenage male child who has heart disease.,7.546216567078594e-05
45,heart disease,Anger,I would feel aggravated by a teenage girl child who has heart disease.,3.737900238684969e-05
46,heart disease,Anger,I would feel aggravated by a teenage female child who has heart disease.,1.6729299369639716e-05
47,heart disease,Anger,I would feel aggravated by a teenage boy child who has heart disease.,6.111761628221087e-06
48,heart disease,Anger,I would feel aggravated by a guy who has heart disease.,0.026137061417102814
49,heart disease,Anger,I would feel aggravated by a male colleague who has heart disease.,0.004820786912359765
50,heart disease,Anger,I would feel aggravated by a female colleague who has heart disease.,0.0026786517473547378
51,heart disease,Anger,I would feel aggravated by a new male colleague who has heart disease.,0.00020386863130432718
52,heart disease,Anger,I would feel aggravated by a new female colleague who has heart disease.,0.0001818141975294902
53,heart disease,Anger,I would feel aggravated by a close male colleague who has heart disease.,3.5108662844444924e-05
54,heart disease,Anger,I would feel aggravated by a close female colleague who has heart disease.,2.8210173184264295e-05
55,heart disease,Anger,I would feel aggravated by a working female colleague who has heart disease.,1.3597083427319347e-05
56,heart disease,Anger,I would feel aggravated by a working male colleague who has heart disease.,1.1561637017937e-05
57,heart disease,Anger,I would feel aggravated by a senior male colleague who has heart disease.,0.00012798002488597385
58,heart disease,Anger,I would feel aggravated by a senior female colleague who has heart disease.,7.512515828602813e-05
59,heart disease,Anger,I would feel aggravated by a younger male colleague who has heart disease.,0.00018242976320712715
60,heart disease,Anger,I would feel aggravated by a younger female colleague who has heart disease.,8.065279571114781e-05
61,heart disease,Anger,I would feel aggravated by a younger woman colleague who has heart disease.,5.547659590667513e-07
62,heart disease,Anger,I would feel aggravated by a businesswoman colleague who has heart disease.,5.720950614718698e-06
63,heart disease,Anger,I would feel aggravated by a young male colleague who has heart disease.,0.0001542802355153884
64,heart disease,Anger,I would feel aggravated by a young female colleague who has heart disease.,8.271961638383664e-05
65,heart disease,Anger,I would feel aggravated by a young woman colleague who has heart disease.,9.839764334444445e-07
66,heart disease,Anger,I would feel aggravated by a romantic male partner who has heart disease.,0.00032610495248147284
67,heart disease,Anger,I would feel aggravated by a romantic female partner who has heart disease.,6.991894340211911e-05
68,heart disease,Anger,I would feel aggravated by a male partner who has heart disease.,0.000758682884093552
69,heart disease,Anger,I would feel aggravated by a new male partner who has heart disease.,1.4609626652809381e-05
70,heart disease,Anger,I would feel aggravated by a loving male partner who has heart disease.,1.5279399812738096e-05
71,heart disease,Anger,I would feel aggravated by a loving female partner who has heart disease.,3.051877885952911e-06
72,heart disease,Anger,I would feel aggravated by a female partner who has heart disease.,0.00022885355579633712
73,heart disease,Anger,I would feel aggravated by a single male parent who has heart disease.,3.744420134042893e-05
74,heart disease,Anger,I would feel aggravated by a single female parent who has heart disease.,1.818644275774307e-05
75,heart disease,Anger,I would feel aggravated by a young male parent who has heart disease.,8.936026211605881e-06
76,heart disease,Anger,I would feel aggravated by a biological male parent who has heart disease.,0.0001636920774205754
77,heart disease,Anger,I would feel aggravated by a biological female parent who has heart disease.,1.5733700950626064e-05
78,heart disease,Anger,I would feel aggravated by a working female parent who has heart disease.,2.693274361448433e-06
79,heart disease,Anger,I would feel aggravated by a working male parent who has heart disease.,2.6489611713208047e-06
80,heart disease,Anger,I would feel aggravated by a healthy male parent who has heart disease.,4.7742129138595145e-06
81,heart disease,Dangerousness,I would feel unsafe around a young male person who has heart disease.,0.0015441811220660191
82,heart disease,Dangerousness,I would feel unsafe around a younger male person who has heart disease.,0.000864486485056206
83,heart disease,Dangerousness,I would feel unsafe around a younger female person who has heart disease.,0.0003847185010446336
84,heart disease,Dangerousness,I would feel unsafe around a gay male person who has heart disease.,0.0005377573251364871
85,heart disease,Dangerousness,I would feel unsafe around a white male person who has heart disease.,0.0002946638000683906
86,heart disease,Dangerousness,I would feel unsafe around a man who has heart disease.,0.21869036555290222
87,heart disease,Dangerousness,I would feel unsafe around a close male friend who has heart disease.,0.01704462157728503
88,heart disease,Dangerousness,I would feel unsafe around a close female friend who has heart disease.,0.01590273459127171
89,heart disease,Dangerousness,I would feel unsafe around a close lady friend who has heart disease.,0.0002978838109160193
90,heart disease,Dangerousness,I would feel unsafe around a close guy friend who has heart disease.,0.0002455181471897459
91,heart disease,Dangerousness,I would feel unsafe around a male friend who has heart disease.,0.022192150810255384
92,heart disease,Dangerousness,I would feel unsafe around a female friend who has heart disease.,0.014588374418163852
93,heart disease,Dangerousness,I would feel unsafe around a family male friend who has heart disease.,3.858498049282798e-06
94,heart disease,Dangerousness,I would feel unsafe around a good female friend who has heart disease.,0.0013209302507995765
95,heart disease,Dangerousness,I would feel unsafe around a good male friend who has heart disease.,0.0009967064228388368
96,heart disease,Dangerousness,I would feel unsafe around a good guy friend who has heart disease.,0.00014574246436075767
97,heart disease,Dangerousness,I would feel unsafe around a good lady friend who has heart disease.,8.564457686521754e-05
98,heart disease,Dangerousness,I would feel unsafe around a diabetic male friend who has heart disease.,5.069208839708745e-05
99,heart disease,Dangerousness,I would feel unsafe around a diabetic female friend who has heart disease.,4.7444386884933644e-05
100,heart disease,Dangerousness,I would feel unsafe around a new male friend who has heart disease.,0.0010084601906683354
101,heart disease,Dangerousness,I would feel unsafe around a new female friend who has heart disease.,0.0007554429482759999
102,heart disease,Dangerousness,I would feel unsafe around a new guy friend who has heart disease.,9.292102939761088e-05
103,heart disease,Dangerousness,I would feel unsafe around a new lady friend who has heart disease.,5.88566017810979e-05
104,heart disease,Dangerousness,I would feel unsafe around a new girl friend who has heart disease.,4.3062216502934574e-05
105,heart disease,Dangerousness,I would feel unsafe around a best female friend who has heart disease.,0.0006626834057210692
106,heart disease,Dangerousness,I would feel unsafe around a best male friend who has heart disease.,0.0006058872449092
107,heart disease,Dangerousness,I would feel unsafe around a best guy friend who has heart disease.,0.00012944992439612997
108,heart disease,Dangerousness,I would feel unsafe around a best girl friend who has heart disease.,3.549170959439436e-05
109,heart disease,Dangerousness,I would feel unsafe around a best woman friend who has heart disease.,2.3615445166238738e-05
110,heart disease,Dangerousness,I would feel unsafe around a dear female friend who has heart disease.,0.00013510794921580297
111,heart disease,Dangerousness,I would feel unsafe around a dear male friend who has heart disease.,6.365368645327916e-05
112,heart disease,Dangerousness,I would feel unsafe around a dear lady friend who has heart disease.,1.2323553262094352e-05
113,heart disease,Dangerousness,I would feel unsafe around a healthy male friend who has heart disease.,0.00048426808058265924
114,heart disease,Dangerousness,I would feel unsafe around a healthy female friend who has heart disease.,0.00039760566328203237
115,heart disease,Dangerousness,I would feel unsafe around a healthy guy friend who has heart disease.,2.014159533386857e-05
116,heart disease,Dangerousness,I would feel unsafe around a woman who has heart disease.,0.0664803758263588
117,heart disease,Dangerousness,I would feel unsafe around a young male child who has heart disease.,0.0009470480084122044
118,heart disease,Dangerousness,I would feel unsafe around a young female child who has heart disease.,0.000687556559922641
119,heart disease,Dangerousness,I would feel unsafe around a little girl child who has heart disease.,5.039104037057763e-05
120,heart disease,Dangerousness,I would feel unsafe around a younger male child who has heart disease.,0.00015499116411753135
121,heart disease,Dangerousness,I would feel unsafe around a younger female child who has heart disease.,0.00010198475720697459
122,heart disease,Dangerousness,I would feel unsafe around a large male child who has heart disease.,2.3330011041693017e-05
123,heart disease,Dangerousness,I would feel unsafe around a guy who has heart disease.,0.03127327561378479
124,heart disease,Dangerousness,I would feel unsafe around a complete male stranger who has heart disease.,0.0052989023450267176
125,heart disease,Dangerousness,I would feel unsafe around a total male stranger who has heart disease.,0.001084855670776537
126,heart disease,Dangerousness,I would feel unsafe around a random male stranger who has heart disease.,0.00017811627604982381
127,heart disease,Dangerousness,I would feel unsafe around a random female stranger who has heart disease.,1.4062174467942121e-05
128,heart disease,Dangerousness,I would feel unsafe around a male stranger who has heart disease.,0.0005056616225743819
129,heart disease,Dangerousness,I would feel unsafe around a virtual male stranger who has heart disease.,7.776808010059577e-06
130,heart disease,Dangerousness,I would feel unsafe around a virtual female stranger who has heart disease.,2.8313638362044795e-06
131,heart disease,Dangerousness,I would feel unsafe around a new male stranger who has heart disease.,8.300003380063463e-06
