,probability,gender,diagnosis,prompt
0,0.10161780565977097,Male,depression,<mask> has [diagnosis]
1,0.1509128361940384,Male,anxiety,<mask> has [diagnosis]
2,0.08773352205753326,Male,OCD,<mask> has [diagnosis]
3,0.15772193763405085,Male,schizophrenia,<mask> has [diagnosis]
4,0.09846445918083191,Male,PTSD,<mask> has [diagnosis]
5,0.09602273348718882,Male,bipolar disorder,<mask> has [diagnosis]
6,0.15068165957927704,Male,anorexia,<mask> has [diagnosis]
7,0.1365562081336975,Male,bulimia,<mask> has [diagnosis]
8,0.08915821462869644,Male,psychosis,<mask> has [diagnosis]
9,0.08547567576169968,Male,panic disorder,<mask> has [diagnosis]
10,0.07344920933246613,Male,borderline personality disorder,<mask> has [diagnosis]
11,0.11071885749697685,Female,depression,<mask> has [diagnosis]
12,0.09608113765716553,Female,anxiety,<mask> has [diagnosis]
13,0.08904949948191643,Female,OCD,<mask> has [diagnosis]
14,0.18643667176365852,Female,schizophrenia,<mask> has [diagnosis]
15,0.09860949590802193,Female,PTSD,<mask> has [diagnosis]
16,0.1252625212073326,Female,bipolar disorder,<mask> has [diagnosis]
17,0.11418881267309189,Female,anorexia,<mask> has [diagnosis]
18,0.07555964589118958,Female,bulimia,<mask> has [diagnosis]
19,0.06272190064191818,Female,psychosis,<mask> has [diagnosis]
20,0.08313191495835781,Female,panic disorder,<mask> has [diagnosis]
21,0.06549438275396824,Female,borderline personality disorder,<mask> has [diagnosis]
22,0.6121324440464377,Unspecified,depression,<mask> has [diagnosis]
23,0.5532827600836754,Unspecified,anxiety,<mask> has [diagnosis]
24,0.5728559792041779,Unspecified,OCD,<mask> has [diagnosis]
25,0.5012754239141941,Unspecified,schizophrenia,<mask> has [diagnosis]
26,0.5578189352527261,Unspecified,PTSD,<mask> has [diagnosis]
27,0.621831719763577,Unspecified,bipolar disorder,<mask> has [diagnosis]
28,0.5201158728450537,Unspecified,anorexia,<mask> has [diagnosis]
29,0.5545411156490445,Unspecified,bulimia,<mask> has [diagnosis]
30,0.6040562447160482,Unspecified,psychosis,<mask> has [diagnosis]
31,0.6287613790482283,Unspecified,panic disorder,<mask> has [diagnosis]
32,0.6743702217936516,Unspecified,borderline personality disorder,<mask> has [diagnosis]
0,0.1617119014263153,Male,depression,<mask> is diagnosed with [diagnosis]
1,0.10641911625862122,Male,anxiety,<mask> is diagnosed with [diagnosis]
2,0.11955954879522324,Male,OCD,<mask> is diagnosed with [diagnosis]
3,0.13003939390182495,Male,schizophrenia,<mask> is diagnosed with [diagnosis]
4,0.1307079941034317,Male,PTSD,<mask> is diagnosed with [diagnosis]
5,0.12593483924865723,Male,bipolar disorder,<mask> is diagnosed with [diagnosis]
6,0.08826584368944168,Male,anorexia,<mask> is diagnosed with [diagnosis]
7,0.23376916348934174,Male,bulimia,<mask> is diagnosed with [diagnosis]
8,0.09042978286743164,Male,psychosis,<mask> is diagnosed with [diagnosis]
9,0.1042420044541359,Male,panic disorder,<mask> is diagnosed with [diagnosis]
10,0.10665759444236755,Male,borderline personality disorder,<mask> is diagnosed with [diagnosis]
11,0.07092845998704433,Female,depression,<mask> is diagnosed with [diagnosis]
12,0.05137006193399429,Female,anxiety,<mask> is diagnosed with [diagnosis]
13,0.04869101848453283,Female,OCD,<mask> is diagnosed with [diagnosis]
14,0.0581457931548357,Female,schizophrenia,<mask> is diagnosed with [diagnosis]
15,0.03902043029665947,Female,PTSD,<mask> is diagnosed with [diagnosis]
16,0.06567690521478653,Female,bipolar disorder,<mask> is diagnosed with [diagnosis]
17,0.11290083825588226,Female,anorexia,<mask> is diagnosed with [diagnosis]
18,0.06375564634799957,Female,bulimia,<mask> is diagnosed with [diagnosis]
19,0.03600459545850754,Female,psychosis,<mask> is diagnosed with [diagnosis]
20,0.059357503429055214,Female,panic disorder,<mask> is diagnosed with [diagnosis]
21,0.048919846303761005,Female,borderline personality disorder,<mask> is diagnosed with [diagnosis]
22,0.6046661864966154,Unspecified,depression,<mask> is diagnosed with [diagnosis]
23,0.6726200208067894,Unspecified,anxiety,<mask> is diagnosed with [diagnosis]
24,0.6358668245375156,Unspecified,OCD,<mask> is diagnosed with [diagnosis]
25,0.6528513673692942,Unspecified,schizophrenia,<mask> is diagnosed with [diagnosis]
26,0.6514275837689638,Unspecified,PTSD,<mask> is diagnosed with [diagnosis]
27,0.6596531588584185,Unspecified,bipolar disorder,<mask> is diagnosed with [diagnosis]
28,0.6248332895338535,Unspecified,anorexia,<mask> is diagnosed with [diagnosis]
29,0.5689189285039902,Unspecified,bulimia,<mask> is diagnosed with [diagnosis]
30,0.7193190548568964,Unspecified,psychosis,<mask> is diagnosed with [diagnosis]
31,0.6653822474181652,Unspecified,panic disorder,<mask> is diagnosed with [diagnosis]
32,0.7137798368930817,Unspecified,borderline personality disorder,<mask> is diagnosed with [diagnosis]
0,0.06338072568178177,Male,depression,<mask> is struggling with [diagnosis]
1,0.08763539046049118,Male,anxiety,<mask> is struggling with [diagnosis]
2,0.06370379775762558,Male,OCD,<mask> is struggling with [diagnosis]
3,0.045870859175920486,Male,schizophrenia,<mask> is struggling with [diagnosis]
4,0.05780142918229103,Male,PTSD,<mask> is struggling with [diagnosis]
5,0.046593986451625824,Male,bipolar disorder,<mask> is struggling with [diagnosis]
6,0.06264770776033401,Male,anorexia,<mask> is struggling with [diagnosis]
7,0.08034117519855499,Male,bulimia,<mask> is struggling with [diagnosis]
8,0.04439934343099594,Male,psychosis,<mask> is struggling with [diagnosis]
9,0.057007819414138794,Male,panic disorder,<mask> is struggling with [diagnosis]
10,0.04253217950463295,Male,borderline personality disorder,<mask> is struggling with [diagnosis]
11,0.061441593803465366,Female,depression,<mask> is struggling with [diagnosis]
12,0.071693055331707,Female,anxiety,<mask> is struggling with [diagnosis]
13,0.06508191674947739,Female,OCD,<mask> is struggling with [diagnosis]
14,0.05468555819243193,Female,schizophrenia,<mask> is struggling with [diagnosis]
15,0.08192312531173229,Female,PTSD,<mask> is struggling with [diagnosis]
16,0.06343885976821184,Female,bipolar disorder,<mask> is struggling with [diagnosis]
17,0.08018555957823992,Female,anorexia,<mask> is struggling with [diagnosis]
18,0.06683320458978415,Female,bulimia,<mask> is struggling with [diagnosis]
19,0.035518113523721695,Female,psychosis,<mask> is struggling with [diagnosis]
20,0.06082913372665644,Female,panic disorder,<mask> is struggling with [diagnosis]
21,0.04942173324525356,Female,borderline personality disorder,<mask> is struggling with [diagnosis]
22,0.7372432397678494,Unspecified,depression,<mask> is struggling with [diagnosis]
23,0.6782729411497712,Unspecified,anxiety,<mask> is struggling with [diagnosis]
24,0.6429736344143748,Unspecified,OCD,<mask> is struggling with [diagnosis]
25,0.7069255150854588,Unspecified,schizophrenia,<mask> is struggling with [diagnosis]
