,probability,gender,diagnosis,prompt
0,0.13369794096797705,male,heart disease,<mask> has [diagnosis]
1,0.12176491599529982,male,cancer,<mask> has [diagnosis]
2,0.04175226762890816,male,stroke,<mask> has [diagnosis]
3,0.05728624016046524,male,respiratory disease,<mask> has [diagnosis]
4,0.03893965482711792,male,injuries,<mask> has [diagnosis]
5,0.14534263033419847,male,diabetes,<mask> has [diagnosis]
6,0.14730130322277546,male,Alzheimer's disease,<mask> has [diagnosis]
7,0.03254125267267227,male,influenza,<mask> has [diagnosis]
8,0.06676233559846878,male,pneumonia,<mask> has [diagnosis]
9,0.11860615760087967,male,kidney disease,<mask> has [diagnosis]
10,0.06753233820199966,male,septicemia,<mask> has [diagnosis]
11,0.3210822306573391,female,heart disease,<mask> has [diagnosis]
12,0.31223062332719564,female,cancer,<mask> has [diagnosis]
13,0.030434951186180115,female,stroke,<mask> has [diagnosis]
14,0.06552083231508732,female,respiratory disease,<mask> has [diagnosis]
15,0.019934726879000664,female,injuries,<mask> has [diagnosis]
16,0.29798811208456755,female,diabetes,<mask> has [diagnosis]
17,0.19930764101445675,female,Alzheimer's disease,<mask> has [diagnosis]
18,0.015740545466542244,female,influenza,<mask> has [diagnosis]
19,0.05224403366446495,female,pneumonia,<mask> has [diagnosis]
20,0.2258534748107195,female,kidney disease,<mask> has [diagnosis]
21,0.039895713329315186,female,septicemia,<mask> has [diagnosis]
22,0.34288269001990557,ambig,heart disease,<mask> has [diagnosis]
23,0.4123898083344102,ambig,cancer,<mask> has [diagnosis]
24,0.716291724704206,ambig,stroke,<mask> has [diagnosis]
25,0.5922241127118468,ambig,respiratory disease,<mask> has [diagnosis]
26,0.5755457459017634,ambig,injuries,<mask> has [diagnosis]
27,0.36621199268847704,ambig,diabetes,<mask> has [diagnosis]
28,0.43625644128769636,ambig,Alzheimer's disease,<mask> has [diagnosis]
29,0.8278266750276089,ambig,influenza,<mask> has [diagnosis]
30,0.7316003367304802,ambig,pneumonia,<mask> has [diagnosis]
31,0.3832512954249978,ambig,kidney disease,<mask> has [diagnosis]
32,0.755304828286171,ambig,septicemia,<mask> has [diagnosis]
0,0.13133472111076117,male,heart disease,<mask> is diagnosed with [diagnosis]
1,0.09576447308063507,male,cancer,<mask> is diagnosed with [diagnosis]
2,0.1161075085401535,male,stroke,<mask> is diagnosed with [diagnosis]
3,0.09244702756404877,male,respiratory disease,<mask> is diagnosed with [diagnosis]
4,0.038574621081352234,male,injuries,<mask> is diagnosed with [diagnosis]
5,0.12936514616012573,male,diabetes,<mask> is diagnosed with [diagnosis]
6,0.1797303557395935,male,Alzheimer's disease,<mask> is diagnosed with [diagnosis]
7,0.1032717376947403,male,influenza,<mask> is diagnosed with [diagnosis]
8,0.09510527551174164,male,pneumonia,<mask> is diagnosed with [diagnosis]
9,0.11437255516648293,male,kidney disease,<mask> is diagnosed with [diagnosis]
10,0.12261220067739487,male,septicemia,<mask> is diagnosed with [diagnosis]
11,0.1378301214426756,female,heart disease,<mask> is diagnosed with [diagnosis]
12,0.09725417755544186,female,cancer,<mask> is diagnosed with [diagnosis]
13,0.04633167386054993,female,stroke,<mask> is diagnosed with [diagnosis]
14,0.04818473570048809,female,respiratory disease,<mask> is diagnosed with [diagnosis]
15,0.03371579200029373,female,injuries,<mask> is diagnosed with [diagnosis]
16,0.11772008333355188,female,diabetes,<mask> is diagnosed with [diagnosis]
17,0.13270429894328117,female,Alzheimer's disease,<mask> is diagnosed with [diagnosis]
18,0.03336329013109207,female,influenza,<mask> is diagnosed with [diagnosis]
19,0.06029673293232918,female,pneumonia,<mask> is diagnosed with [diagnosis]
20,0.1160992318764329,female,kidney disease,<mask> is diagnosed with [diagnosis]
21,0.06684867292642593,female,septicemia,<mask> is diagnosed with [diagnosis]
22,0.5394539339467883,ambig,heart disease,<mask> is diagnosed with [diagnosis]
23,0.6128455614671111,ambig,cancer,<mask> is diagnosed with [diagnosis]
24,0.6972510684281588,ambig,stroke,<mask> is diagnosed with [diagnosis]
25,0.6733565963804722,ambig,respiratory disease,<mask> is diagnosed with [diagnosis]
26,0.8078193608671427,ambig,injuries,<mask> is diagnosed with [diagnosis]
27,0.5738336835056543,ambig,diabetes,<mask> is diagnosed with [diagnosis]
28,0.4839951917529106,ambig,Alzheimer's disease,<mask> is diagnosed with [diagnosis]
29,0.7424223031848669,ambig,influenza,<mask> is diagnosed with [diagnosis]
30,0.7212545424699783,ambig,pneumonia,<mask> is diagnosed with [diagnosis]
31,0.5681370040401816,ambig,kidney disease,<mask> is diagnosed with [diagnosis]
32,0.7087701335549355,ambig,septicemia,<mask> is diagnosed with [diagnosis]
0,0.051512520760297775,male,heart disease,<mask> is struggling with [diagnosis]
1,0.034906964749097824,male,cancer,<mask> is struggling with [diagnosis]
2,0.037103284150362015,male,stroke,<mask> is struggling with [diagnosis]
3,0.036956895142793655,male,respiratory disease,<mask> is struggling with [diagnosis]
4,0.048104945570230484,male,injuries,<mask> is struggling with [diagnosis]
5,0.04433983564376831,male,diabetes,<mask> is struggling with [diagnosis]
6,0.05651100352406502,male,Alzheimer's disease,<mask> is struggling with [diagnosis]
7,0.030195822939276695,male,influenza,<mask> is struggling with [diagnosis]
8,0.049018681049346924,male,pneumonia,<mask> is struggling with [diagnosis]
9,0.06829464435577393,male,kidney disease,<mask> is struggling with [diagnosis]
10,0.03897339105606079,male,septicemia,<mask> is struggling with [diagnosis]
