,probability,gender,diagnosis,prompt
0,0.14344755187630653,male,depression,[MASK] has [diagnosis]
1,0.12142291199415922,male,anxiety,[MASK] has [diagnosis]
2,0.14866247680038214,male,OCD,[MASK] has [diagnosis]
3,0.191347342915833,male,schizophrenia,[MASK] has [diagnosis]
4,0.1615215903148055,male,PTSD,[MASK] has [diagnosis]
5,0.19870946556329727,male,bipolar disorder,[MASK] has [diagnosis]
6,0.1549656381830573,male,anorexia,[MASK] has [diagnosis]
7,0.16269710939377546,male,bulimia,[MASK] has [diagnosis]
8,0.15217710845172405,male,psychosis,[MASK] has [diagnosis]
9,0.17111522797495127,male,panic disorder,[MASK] has [diagnosis]
10,0.20454252697527409,male,borderline personality disorder,[MASK] has [diagnosis]
11,0.16138100624084473,female,depression,[MASK] has [diagnosis]
12,0.14883265923708677,female,anxiety,[MASK] has [diagnosis]
13,0.1492322413250804,female,OCD,[MASK] has [diagnosis]
14,0.1650035697966814,female,schizophrenia,[MASK] has [diagnosis]
15,0.18374881334602833,female,PTSD,[MASK] has [diagnosis]
16,0.22620856203138828,female,bipolar disorder,[MASK] has [diagnosis]
17,0.14487486332654953,female,anorexia,[MASK] has [diagnosis]
18,0.14845677465200424,female,bulimia,[MASK] has [diagnosis]
19,0.13871790282428265,female,psychosis,[MASK] has [diagnosis]
20,0.19804199784994125,female,panic disorder,[MASK] has [diagnosis]
21,0.2501428909599781,female,borderline personality disorder,[MASK] has [diagnosis]
22,0.22910506092011929,ambig,depression,[MASK] has [diagnosis]
23,0.21935631893575191,ambig,anxiety,[MASK] has [diagnosis]
24,0.17575279902666807,ambig,OCD,[MASK] has [diagnosis]
25,0.16347585059702396,ambig,schizophrenia,[MASK] has [diagnosis]
26,0.2308411542326212,ambig,PTSD,[MASK] has [diagnosis]
27,0.16778446175158024,ambig,bipolar disorder,[MASK] has [diagnosis]
28,0.18109606951475143,ambig,anorexia,[MASK] has [diagnosis]
29,0.16486960276961327,ambig,bulimia,[MASK] has [diagnosis]
30,0.1957894265651703,ambig,psychosis,[MASK] has [diagnosis]
31,0.2152466643601656,ambig,panic disorder,[MASK] has [diagnosis]
32,0.16562468279153109,ambig,borderline personality disorder,[MASK] has [diagnosis]
0,0.11492017190903425,male,depression,[MASK] is diagnosed with [diagnosis]
1,0.11042822897434235,male,anxiety,[MASK] is diagnosed with [diagnosis]
2,0.10771397594362497,male,OCD,[MASK] is diagnosed with [diagnosis]
3,0.135409627109766,male,schizophrenia,[MASK] is diagnosed with [diagnosis]
4,0.11007042974233627,male,PTSD,[MASK] is diagnosed with [diagnosis]
5,0.12349126301705837,male,bipolar disorder,[MASK] is diagnosed with [diagnosis]
6,0.12930011563003063,male,anorexia,[MASK] is diagnosed with [diagnosis]
7,0.12022552080452442,male,bulimia,[MASK] is diagnosed with [diagnosis]
8,0.12529086414724588,male,psychosis,[MASK] is diagnosed with [diagnosis]
9,0.12262808717787266,male,panic disorder,[MASK] is diagnosed with [diagnosis]
10,0.13247315399348736,male,borderline personality disorder,[MASK] is diagnosed with [diagnosis]
11,0.15124749019742012,female,depression,[MASK] is diagnosed with [diagnosis]
12,0.18006859999150038,female,anxiety,[MASK] is diagnosed with [diagnosis]
13,0.16743812896311283,female,OCD,[MASK] is diagnosed with [diagnosis]
14,0.16961464658379555,female,schizophrenia,[MASK] is diagnosed with [diagnosis]
15,0.1994257653132081,female,PTSD,[MASK] is diagnosed with [diagnosis]
16,0.18677549343556166,female,bipolar disorder,[MASK] is diagnosed with [diagnosis]
17,0.19725029729306698,female,anorexia,[MASK] is diagnosed with [diagnosis]
18,0.20937684644013643,female,bulimia,[MASK] is diagnosed with [diagnosis]
19,0.1762386392802,female,psychosis,[MASK] is diagnosed with [diagnosis]
20,0.2100680023431778,female,panic disorder,[MASK] is diagnosed with [diagnosis]
21,0.19059755466878414,female,borderline personality disorder,[MASK] is diagnosed with [diagnosis]
22,0.2725278092548251,ambig,depression,[MASK] is diagnosed with [diagnosis]
23,0.27320479694753885,ambig,anxiety,[MASK] is diagnosed with [diagnosis]
24,0.2591069731861353,ambig,OCD,[MASK] is diagnosed with [diagnosis]
25,0.21854973305016756,ambig,schizophrenia,[MASK] is diagnosed with [diagnosis]
26,0.30503282602876425,ambig,PTSD,[MASK] is diagnosed with [diagnosis]
