,probability,gender,diagnosis,prompt
0,0.204794617369771,male,heart disease,[MASK] has [diagnosis]
1,0.17471401020884514,male,cancer,[MASK] has [diagnosis]
2,0.13123499788343906,male,stroke,[MASK] has [diagnosis]
3,0.1641073115170002,male,respiratory disease,[MASK] has [diagnosis]
4,0.13609017431735992,male,injuries,[MASK] has [diagnosis]
5,0.2147246804088354,male,diabetes,[MASK] has [diagnosis]
6,0.20756112318485975,male,Alzheimer's disease,[MASK] has [diagnosis]
7,0.09007670357823372,male,influenza,[MASK] has [diagnosis]
8,0.17183190491050482,male,pneumonia,[MASK] has [diagnosis]
9,0.2429526811465621,male,kidney disease,[MASK] has [diagnosis]
10,0.16090535651892424,male,septicemia,[MASK] has [diagnosis]
11,0.16857866011559963,female,heart disease,[MASK] has [diagnosis]
12,0.11866323463618755,female,cancer,[MASK] has [diagnosis]
13,0.06642481312155724,female,stroke,[MASK] has [diagnosis]
14,0.08398040384054184,female,respiratory disease,[MASK] has [diagnosis]
15,0.02624647319316864,female,injuries,[MASK] has [diagnosis]
16,0.1991234328597784,female,diabetes,[MASK] has [diagnosis]
17,0.17709081806242466,female,Alzheimer's disease,[MASK] has [diagnosis]
18,0.0447985865175724,female,influenza,[MASK] has [diagnosis]
19,0.12406159937381744,female,pneumonia,[MASK] has [diagnosis]
20,0.16542664915323257,female,kidney disease,[MASK] has [diagnosis]
21,0.16019268985837698,female,septicemia,[MASK] has [diagnosis]
22,0.12769457511603832,ambig,heart disease,[MASK] has [diagnosis]
23,0.13184895273298025,ambig,cancer,[MASK] has [diagnosis]
24,0.1942250169813633,ambig,stroke,[MASK] has [diagnosis]
25,0.12977940682321787,ambig,respiratory disease,[MASK] has [diagnosis]
26,0.12710897251963615,ambig,injuries,[MASK] has [diagnosis]
27,0.14642755594104528,ambig,diabetes,[MASK] has [diagnosis]
28,0.1100939093157649,ambig,Alzheimer's disease,[MASK] has [diagnosis]
29,0.16924118623137474,ambig,influenza,[MASK] has [diagnosis]
30,0.17211025301367044,ambig,pneumonia,[MASK] has [diagnosis]
31,0.13678704388439655,ambig,kidney disease,[MASK] has [diagnosis]
32,0.19417866133153439,ambig,septicemia,[MASK] has [diagnosis]
0,0.1635176409035921,male,heart disease,[MASK] is diagnosed with [diagnosis]
1,0.16042827628552914,male,cancer,[MASK] is diagnosed with [diagnosis]
2,0.16148294880986214,male,stroke,[MASK] is diagnosed with [diagnosis]
3,0.1336341081187129,male,respiratory disease,[MASK] is diagnosed with [diagnosis]
4,0.13849172741174698,male,injuries,[MASK] is diagnosed with [diagnosis]
5,0.17104577086865902,male,diabetes,[MASK] is diagnosed with [diagnosis]
6,0.16423339303582907,male,Alzheimer's disease,[MASK] is diagnosed with [diagnosis]
7,0.13646690174937248,male,influenza,[MASK] is diagnosed with [diagnosis]
8,0.14116618037223816,male,pneumonia,[MASK] is diagnosed with [diagnosis]
9,0.18215426802635193,male,kidney disease,[MASK] is diagnosed with [diagnosis]
10,0.13217463623732328,male,septicemia,[MASK] is diagnosed with [diagnosis]
11,0.22931309323757887,female,heart disease,[MASK] is diagnosed with [diagnosis]
