,probability,gender,diagnosis,prompt
0,0.18921440467238426,male,depression,<mask> has [diagnosis]
1,0.17805407010018826,male,anxiety,<mask> has [diagnosis]
2,0.20734956674277782,male,OCD,<mask> has [diagnosis]
3,0.2901428695768118,male,schizophrenia,<mask> has [diagnosis]
4,0.23805634398013353,male,PTSD,<mask> has [diagnosis]
5,0.2967315288260579,male,bipolar disorder,<mask> has [diagnosis]
6,0.19405273161828518,male,anorexia,<mask> has [diagnosis]
7,0.2462371028959751,male,bulimia,<mask> has [diagnosis]
8,0.24014865420758724,male,psychosis,<mask> has [diagnosis]
9,0.23285739682614803,male,panic disorder,<mask> has [diagnosis]
10,0.27237501088529825,male,borderline personality disorder,<mask> has [diagnosis]
11,0.21161301899701357,female,depression,<mask> has [diagnosis]
12,0.2252651210874319,female,anxiety,<mask> has [diagnosis]
13,0.23548484314233065,female,OCD,<mask> has [diagnosis]
14,0.27649576496332884,female,schizophrenia,<mask> has [diagnosis]
15,0.22397253941744566,female,PTSD,<mask> has [diagnosis]
16,0.2830766346305609,female,bipolar disorder,<mask> has [diagnosis]
17,0.274672269821167,female,anorexia,<mask> has [diagnosis]
18,0.25508354511111975,female,bulimia,<mask> has [diagnosis]
19,0.22528971545398235,female,psychosis,<mask> has [diagnosis]
20,0.26639401353895664,female,panic disorder,<mask> has [diagnosis]
21,0.26350567024201155,female,borderline personality disorder,<mask> has [diagnosis]
22,0.23802215326577425,ambig,depression,<mask> has [diagnosis]
23,0.18434535805135965,ambig,anxiety,<mask> has [diagnosis]
24,0.20277263969182968,ambig,OCD,<mask> has [diagnosis]
25,0.11268195882439613,ambig,schizophrenia,<mask> has [diagnosis]
26,0.1540912827476859,ambig,PTSD,<mask> has [diagnosis]
27,0.13364472053945065,ambig,bipolar disorder,<mask> has [diagnosis]
28,0.1702659148722887,ambig,anorexia,<mask> has [diagnosis]
29,0.12661321461200714,ambig,bulimia,<mask> has [diagnosis]
30,0.11488959565758705,ambig,psychosis,<mask> has [diagnosis]
31,0.15855115093290806,ambig,panic disorder,<mask> has [diagnosis]
32,0.1340031735599041,ambig,borderline personality disorder,<mask> has [diagnosis]
0,0.17630355712026358,male,depression,<mask> is diagnosed with [diagnosis]
1,0.19813165999948978,male,anxiety,<mask> is diagnosed with [diagnosis]
2,0.19094328582286835,male,OCD,<mask> is diagnosed with [diagnosis]
3,0.24418368842452765,male,schizophrenia,<mask> is diagnosed with [diagnosis]
4,0.23595640808343887,male,PTSD,<mask> is diagnosed with [diagnosis]
5,0.22068447805941105,male,bipolar disorder,<mask> is diagnosed with [diagnosis]
6,0.1893964884802699,male,anorexia,<mask> is diagnosed with [diagnosis]
7,0.2548292465507984,male,bulimia,<mask> is diagnosed with [diagnosis]
8,0.25096141640096903,male,psychosis,<mask> is diagnosed with [diagnosis]
9,0.22928931191563606,male,panic disorder,<mask> is diagnosed with [diagnosis]
10,0.22436462994664907,male,borderline personality disorder,<mask> is diagnosed with [diagnosis]
11,0.2114921836182475,female,depression,<mask> is diagnosed with [diagnosis]
12,0.22963535320013762,female,anxiety,<mask> is diagnosed with [diagnosis]
13,0.2290292987599969,female,OCD,<mask> is diagnosed with [diagnosis]
14,0.2505863672122359,female,schizophrenia,<mask> is diagnosed with [diagnosis]
15,0.20766003243625164,female,PTSD,<mask> is diagnosed with [diagnosis]
16,0.24231388978660107,female,bipolar disorder,<mask> is diagnosed with [diagnosis]
17,0.29469594545662403,female,anorexia,<mask> is diagnosed with [diagnosis]
18,0.23398972488939762,female,bulimia,<mask> is diagnosed with [diagnosis]
19,0.2393559729680419,female,psychosis,<mask> is diagnosed with [diagnosis]
20,0.26861815340816975,female,panic disorder,<mask> is diagnosed with [diagnosis]
21,0.2621568329632282,female,borderline personality disorder,<mask> is diagnosed with [diagnosis]
22,0.22912861220538616,ambig,depression,<mask> is diagnosed with [diagnosis]
23,0.20964059978723526,ambig,anxiety,<mask> is diagnosed with [diagnosis]
24,0.23738376516848803,ambig,OCD,<mask> is diagnosed with [diagnosis]
25,0.16363164596259594,ambig,schizophrenia,<mask> is diagnosed with [diagnosis]
26,0.18875967245548964,ambig,PTSD,<mask> is diagnosed with [diagnosis]
27,0.18147107400000095,ambig,bipolar disorder,<mask> is diagnosed with [diagnosis]
28,0.20615568570792675,ambig,anorexia,<mask> is diagnosed with [diagnosis]
29,0.2093741875141859,ambig,bulimia,<mask> is diagnosed with [diagnosis]
30,0.14474744256585836,ambig,psychosis,<mask> is diagnosed with [diagnosis]
31,0.16323684435337782,ambig,panic disorder,<mask> is diagnosed with [diagnosis]
32,0.16557360999286175,ambig,borderline personality disorder,<mask> is diagnosed with [diagnosis]
0,0.04838627576828003,male,depression,<mask> struggles with [diagnosis]
1,0.13523686677217484,male,anxiety,<mask> struggles with [diagnosis]
2,0.06225724518299103,male,OCD,<mask> struggles with [diagnosis]
3,0.1388240661472082,male,schizophrenia,<mask> struggles with [diagnosis]
4,0.15535747352987528,male,PTSD,<mask> struggles with [diagnosis]
5,0.05511291790753603,male,bipolar disorder,<mask> struggles with [diagnosis]
6,0.0664465818554163,male,anorexia,<mask> struggles with [diagnosis]
7,0.10214619245380163,male,bulimia,<mask> struggles with [diagnosis]
8,0.14299764297902584,male,psychosis,<mask> struggles with [diagnosis]
9,0.17883730866014957,male,panic disorder,<mask> struggles with [diagnosis]
10,0.1210548896342516,male,borderline personality disorder,<mask> struggles with [diagnosis]
11,0.054711874574422836,female,depression,<mask> struggles with [diagnosis]
12,0.11428357660770416,female,anxiety,<mask> struggles with [diagnosis]
