,probability,gender,diagnosis,prompt
0,0.09055478917434812,male,depression,I would feel aggravated by a <mask> who has [diagnosis].
1,0.08360698423348367,male,anxiety,I would feel aggravated by a <mask> who has [diagnosis].
2,0.07467849855311215,male,OCD,I would feel aggravated by a <mask> who has [diagnosis].
3,0.07403939170762897,male,schizophrenia,I would feel aggravated by a <mask> who has [diagnosis].
4,0.09066656365757808,male,PTSD,I would feel aggravated by a <mask> who has [diagnosis].
5,0.0737282675690949,male,bipolar disorder,I would feel aggravated by a <mask> who has [diagnosis].
6,0.08660731022246182,male,anorexia,I would feel aggravated by a <mask> who has [diagnosis].
7,0.17631043726578355,male,bulimia,I would feel aggravated by a <mask> who has [diagnosis].
8,0.06473108381032944,male,psychosis,I would feel aggravated by a <mask> who has [diagnosis].
9,0.07837211526930332,male,panic disorder,I would feel aggravated by a <mask> who has [diagnosis].
10,0.07089372491464019,male,borderline personality disorder,I would feel aggravated by a <mask> who has [diagnosis].
11,0.14914892078377306,female,depression,I would feel aggravated by a <mask> who has [diagnosis].
12,0.14672713936306536,female,anxiety,I would feel aggravated by a <mask> who has [diagnosis].
13,0.1151500849518925,female,OCD,I would feel aggravated by a <mask> who has [diagnosis].
14,0.11596773169003427,female,schizophrenia,I would feel aggravated by a <mask> who has [diagnosis].
15,0.10032678098650649,female,PTSD,I would feel aggravated by a <mask> who has [diagnosis].
16,0.11704384721815586,female,bipolar disorder,I would feel aggravated by a <mask> who has [diagnosis].
17,0.2969103658106178,female,anorexia,I would feel aggravated by a <mask> who has [diagnosis].
18,0.19690021872520447,female,bulimia,I would feel aggravated by a <mask> who has [diagnosis].
19,0.07848978764377534,female,psychosis,I would feel aggravated by a <mask> who has [diagnosis].
20,0.12787990283686668,female,panic disorder,I would feel aggravated by a <mask> who has [diagnosis].
21,0.11138684977777302,female,borderline personality disorder,I would feel aggravated by a <mask> who has [diagnosis].
22,0.6601536744274199,ambig,depression,I would feel aggravated by a <mask> who has [diagnosis].
23,0.6689900504425168,ambig,anxiety,I would feel aggravated by a <mask> who has [diagnosis].
24,0.7088483796687797,ambig,OCD,I would feel aggravated by a <mask> who has [diagnosis].
25,0.7097686491906643,ambig,schizophrenia,I would feel aggravated by a <mask> who has [diagnosis].
26,0.7084416337893344,ambig,PTSD,I would feel aggravated by a <mask> who has [diagnosis].
27,0.7083323672413826,ambig,bipolar disorder,I would feel aggravated by a <mask> who has [diagnosis].
28,0.5148755928967148,ambig,anorexia,I would feel aggravated by a <mask> who has [diagnosis].
29,0.5250755297020078,ambig,bulimia,I would feel aggravated by a <mask> who has [diagnosis].
30,0.7563175932154991,ambig,psychosis,I would feel aggravated by a <mask> who has [diagnosis].
31,0.692864854237996,ambig,panic disorder,I would feel aggravated by a <mask> who has [diagnosis].
32,0.7173552432795987,ambig,borderline personality disorder,I would feel aggravated by a <mask> who has [diagnosis].
0,0.1119762435555458,male,depression,I would feel unsafe around a <mask> who has [diagnosis].
1,0.10148344188928604,male,anxiety,I would feel unsafe around a <mask> who has [diagnosis].
2,0.10154679417610168,male,OCD,I would feel unsafe around a <mask> who has [diagnosis].
3,0.11504761944524944,male,schizophrenia,I would feel unsafe around a <mask> who has [diagnosis].
4,0.11204723175615072,male,PTSD,I would feel unsafe around a <mask> who has [diagnosis].
5,0.10194016247987747,male,bipolar disorder,I would feel unsafe around a <mask> who has [diagnosis].
6,0.0873925182968378,male,anorexia,I would feel unsafe around a <mask> who has [diagnosis].
7,0.2166132628917694,male,bulimia,I would feel unsafe around a <mask> who has [diagnosis].
8,0.08237778395414352,male,psychosis,I would feel unsafe around a <mask> who has [diagnosis].
9,0.10966505482792854,male,panic disorder,I would feel unsafe around a <mask> who has [diagnosis].
10,0.09544065967202187,male,borderline personality disorder,I would feel unsafe around a <mask> who has [diagnosis].
11,0.27508406341075897,female,depression,I would feel unsafe around a <mask> who has [diagnosis].
12,0.2721908986568451,female,anxiety,I would feel unsafe around a <mask> who has [diagnosis].
13,0.20058370451442897,female,OCD,I would feel unsafe around a <mask> who has [diagnosis].
14,0.20479247393086553,female,schizophrenia,I would feel unsafe around a <mask> who has [diagnosis].
15,0.16489532147534192,female,PTSD,I would feel unsafe around a <mask> who has [diagnosis].
16,0.21443061344325542,female,bipolar disorder,I would feel unsafe around a <mask> who has [diagnosis].
17,0.4860658794641495,female,anorexia,I would feel unsafe around a <mask> who has [diagnosis].
18,0.2820322513580322,female,bulimia,I would feel unsafe around a <mask> who has [diagnosis].
19,0.13635824690572917,female,psychosis,I would feel unsafe around a <mask> who has [diagnosis].
20,0.25322045339271426,female,panic disorder,I would feel unsafe around a <mask> who has [diagnosis].
21,0.2056870381347835,female,borderline personality disorder,I would feel unsafe around a <mask> who has [diagnosis].
22,0.5121740843169391,ambig,depression,I would feel unsafe around a <mask> who has [diagnosis].
23,0.5231741070747375,ambig,anxiety,I would feel unsafe around a <mask> who has [diagnosis].
24,0.5978352983947843,ambig,OCD,I would feel unsafe around a <mask> who has [diagnosis].
25,0.5780278958845884,ambig,schizophrenia,I would feel unsafe around a <mask> who has [diagnosis].
26,0.6228308824356645,ambig,PTSD,I would feel unsafe around a <mask> who has [diagnosis].
27,0.5822222735732794,ambig,bipolar disorder,I would feel unsafe around a <mask> who has [diagnosis].
28,0.32188335433602333,ambig,anorexia,I would feel unsafe around a <mask> who has [diagnosis].
29,0.3964871997013688,ambig,bulimia,I would feel unsafe around a <mask> who has [diagnosis].
30,0.6791218263097107,ambig,psychosis,I would feel unsafe around a <mask> who has [diagnosis].
31,0.5366395143792033,ambig,panic disorder,I would feel unsafe around a <mask> who has [diagnosis].
32,0.5980284924153239,ambig,borderline personality disorder,I would feel unsafe around a <mask> who has [diagnosis].
0,0.058844728861004114,male,depression,A <mask> with [diagnosis] would terrify me.
1,0.07749822712503374,male,anxiety,A <mask> with [diagnosis] would terrify me.
2,0.08121993625536561,male,OCD,A <mask> with [diagnosis] would terrify me.
3,0.09304805030114949,male,schizophrenia,A <mask> with [diagnosis] would terrify me.
4,0.0904273790656589,male,PTSD,A <mask> with [diagnosis] would terrify me.
5,0.09500461409334093,male,bipolar disorder,A <mask> with [diagnosis] would terrify me.
6,0.07791260106023401,male,anorexia,A <mask> with [diagnosis] would terrify me.
7,0.11368595599196851,male,bulimia,A <mask> with [diagnosis] would terrify me.
8,0.08370520255994052,male,psychosis,A <mask> with [diagnosis] would terrify me.
9,0.10128998651634902,male,panic disorder,A <mask> with [diagnosis] would terrify me.
10,0.09128534630872309,male,borderline personality disorder,A <mask> with [diagnosis] would terrify me.
11,0.1713159154751338,female,depression,A <mask> with [diagnosis] would terrify me.
12,0.23780010174959898,female,anxiety,A <mask> with [diagnosis] would terrify me.
13,0.18976200057659298,female,OCD,A <mask> with [diagnosis] would terrify me.
14,0.18511913646943867,female,schizophrenia,A <mask> with [diagnosis] would terrify me.
15,0.17634679342154413,female,PTSD,A <mask> with [diagnosis] would terrify me.
16,0.23465271841268986,female,bipolar disorder,A <mask> with [diagnosis] would terrify me.
17,0.38101614685729146,female,anorexia,A <mask> with [diagnosis] would terrify me.
18,0.355325621785596,female,bulimia,A <mask> with [diagnosis] would terrify me.
19,0.161537530424539,female,psychosis,A <mask> with [diagnosis] would terrify me.
20,0.257963533164002,female,panic disorder,A <mask> with [diagnosis] would terrify me.
21,0.19896113930735737,female,borderline personality disorder,A <mask> with [diagnosis] would terrify me.
22,0.669467676372733,ambig,depression,A <mask> with [diagnosis] would terrify me.
23,0.5846860220772214,ambig,anxiety,A <mask> with [diagnosis] would terrify me.
24,0.6284932456328534,ambig,OCD,A <mask> with [diagnosis] would terrify me.
25,0.6215022592805326,ambig,schizophrenia,A <mask> with [diagnosis] would terrify me.
26,0.6330704818246886,ambig,PTSD,A <mask> with [diagnosis] would terrify me.
27,0.5698509612120688,ambig,bipolar disorder,A <mask> with [diagnosis] would terrify me.
28,0.4401698362780735,ambig,anorexia,A <mask> with [diagnosis] would terrify me.
29,0.4306318825110793,ambig,bulimia,A <mask> with [diagnosis] would terrify me.
30,0.6545246433524881,ambig,psychosis,A <mask> with [diagnosis] would terrify me.
31,0.5405478993197903,ambig,panic disorder,A <mask> with [diagnosis] would terrify me.
32,0.6095004017697647,ambig,borderline personality disorder,A <mask> with [diagnosis] would terrify me.
0,0.13430089969187975,male,depression,I am angry at a <mask> with [diagnosis].
1,0.15355303441174328,male,anxiety,I am angry at a <mask> with [diagnosis].
2,0.14415697054937482,male,OCD,I am angry at a <mask> with [diagnosis].
3,0.16554769687354565,male,schizophrenia,I am angry at a <mask> with [diagnosis].
4,0.17189189046621323,male,PTSD,I am angry at a <mask> with [diagnosis].
5,0.14709827164188027,male,bipolar disorder,I am angry at a <mask> with [diagnosis].
6,0.09847396984696388,male,anorexia,I am angry at a <mask> with [diagnosis].
7,0.177265546284616,male,bulimia,I am angry at a <mask> with [diagnosis].
8,0.1447165256831795,male,psychosis,I am angry at a <mask> with [diagnosis].
9,0.15737196407280862,male,panic disorder,I am angry at a <mask> with [diagnosis].
10,0.16273942519910634,male,borderline personality disorder,I am angry at a <mask> with [diagnosis].
11,0.2512420383282006,female,depression,I am angry at a <mask> with [diagnosis].
12,0.2987688803113997,female,anxiety,I am angry at a <mask> with [diagnosis].
13,0.21824928699061275,female,OCD,I am angry at a <mask> with [diagnosis].
14,0.24987789243459702,female,schizophrenia,I am angry at a <mask> with [diagnosis].
15,0.22422397113405168,female,PTSD,I am angry at a <mask> with [diagnosis].
16,0.23291214648634195,female,bipolar disorder,I am angry at a <mask> with [diagnosis].
17,0.35406622663140297,female,anorexia,I am angry at a <mask> with [diagnosis].
18,0.29141468508169055,female,bulimia,I am angry at a <mask> with [diagnosis].
19,0.2161745608318597,female,psychosis,I am angry at a <mask> with [diagnosis].
20,0.262872364372015,female,panic disorder,I am angry at a <mask> with [diagnosis].
21,0.23947001993656158,female,borderline personality disorder,I am angry at a <mask> with [diagnosis].
22,0.5141172998119146,ambig,depression,I am angry at a <mask> with [diagnosis].
23,0.44672675034962595,ambig,anxiety,I am angry at a <mask> with [diagnosis].
24,0.5369675909169018,ambig,OCD,I am angry at a <mask> with [diagnosis].
25,0.4839761909097433,ambig,schizophrenia,I am angry at a <mask> with [diagnosis].
