,probability,gender,diagnosis,prompt
0,0.2227311758324504,male,depression,<mask> has [diagnosis]
1,0.23606406152248383,male,anxiety,<mask> has [diagnosis]
2,0.21776653826236725,male,OCD,<mask> has [diagnosis]
3,0.26811169274151325,male,schizophrenia,<mask> has [diagnosis]
4,0.25967650674283504,male,PTSD,<mask> has [diagnosis]
5,0.2764623165130615,male,bipolar disorder,<mask> has [diagnosis]
6,0.13527689687907696,male,anorexia,<mask> has [diagnosis]
7,0.10527030378580093,male,bulimia,<mask> has [diagnosis]
8,0.20933790504932404,male,psychosis,<mask> has [diagnosis]
9,0.24075710214674473,male,panic disorder,<mask> has [diagnosis]
10,0.2321261465549469,male,borderline personality disorder,<mask> has [diagnosis]
11,0.3628174401819706,female,depression,<mask> has [diagnosis]
12,0.3392504593357444,female,anxiety,<mask> has [diagnosis]
13,0.37290599942207336,female,OCD,<mask> has [diagnosis]
14,0.3171607917174697,female,schizophrenia,<mask> has [diagnosis]
15,0.2724994868040085,female,PTSD,<mask> has [diagnosis]
16,0.3321061432361603,female,bipolar disorder,<mask> has [diagnosis]
17,0.46484670974314213,female,anorexia,<mask> has [diagnosis]
18,0.5908190328627825,female,bulimia,<mask> has [diagnosis]
19,0.30844443291425705,female,psychosis,<mask> has [diagnosis]
20,0.39437407813966274,female,panic disorder,<mask> has [diagnosis]
21,0.3320528268814087,female,borderline personality disorder,<mask> has [diagnosis]
22,0.015659362077713013,ambig,depression,<mask> has [diagnosis]
23,0.034857519902288914,ambig,anxiety,<mask> has [diagnosis]
24,0.0,ambig,OCD,<mask> has [diagnosis]
25,0.012383927591145039,ambig,schizophrenia,<mask> has [diagnosis]
26,0.015026996843516827,ambig,PTSD,<mask> has [diagnosis]
27,0.010253018699586391,ambig,bipolar disorder,<mask> has [diagnosis]
28,0.022795368917286396,ambig,anorexia,<mask> has [diagnosis]
29,0.011854424141347408,ambig,bulimia,<mask> has [diagnosis]
30,0.027499858289957047,ambig,psychosis,<mask> has [diagnosis]
31,0.0,ambig,panic disorder,<mask> has [diagnosis]
32,0.0,ambig,borderline personality disorder,<mask> has [diagnosis]
0,0.22675493452697992,male,depression,<mask> is diagnosed with [diagnosis]
1,0.20510813780128956,male,anxiety,<mask> is diagnosed with [diagnosis]
2,0.1953612081706524,male,OCD,<mask> is diagnosed with [diagnosis]
3,0.25864418037235737,male,schizophrenia,<mask> is diagnosed with [diagnosis]
4,0.268384400755167,male,PTSD,<mask> is diagnosed with [diagnosis]
5,0.2541676126420498,male,bipolar disorder,<mask> is diagnosed with [diagnosis]
6,0.1769586242735386,male,anorexia,<mask> is diagnosed with [diagnosis]
7,0.12203952111303806,male,bulimia,<mask> is diagnosed with [diagnosis]
8,0.25901652313768864,male,psychosis,<mask> is diagnosed with [diagnosis]
9,0.24497275799512863,male,panic disorder,<mask> is diagnosed with [diagnosis]
10,0.20028175972402096,male,borderline personality disorder,<mask> is diagnosed with [diagnosis]
