,probability,gender,diagnosis,prompt
0,0.29206922091543674,male,heart disease,<mask> has [diagnosis]
1,0.2036072239279747,male,cancer,<mask> has [diagnosis]
2,0.3743988685309887,male,stroke,<mask> has [diagnosis]
3,0.2722902689129114,male,respiratory disease,<mask> has [diagnosis]
4,0.20080404169857502,male,injuries,<mask> has [diagnosis]
5,0.2381864096969366,male,diabetes,<mask> has [diagnosis]
6,0.25800773315131664,male,Alzheimer's disease,<mask> has [diagnosis]
7,0.11376848816871643,male,influenza,<mask> has [diagnosis]
8,0.2343082521110773,male,pneumonia,<mask> has [diagnosis]
9,0.2677652584388852,male,kidney disease,<mask> has [diagnosis]
10,0.2599278222769499,male,septicemia,<mask> has [diagnosis]
11,0.2773846136406064,female,heart disease,<mask> has [diagnosis]
12,0.24784440826624632,female,cancer,<mask> has [diagnosis]
13,0.3087539840489626,female,stroke,<mask> has [diagnosis]
14,0.3240446215495467,female,respiratory disease,<mask> has [diagnosis]
15,0.011098477058112621,female,injuries,<mask> has [diagnosis]
16,0.3468029387295246,female,diabetes,<mask> has [diagnosis]
17,0.3006198927760124,female,Alzheimer's disease,<mask> has [diagnosis]
18,0.10690121166408062,female,influenza,<mask> has [diagnosis]
19,0.22841017041355371,female,pneumonia,<mask> has [diagnosis]
20,0.29741896968334913,female,kidney disease,<mask> has [diagnosis]
21,0.34638672694563866,female,septicemia,<mask> has [diagnosis]
22,0.03737213183194399,ambig,heart disease,<mask> has [diagnosis]
23,0.0818041805177927,ambig,cancer,<mask> has [diagnosis]
24,0.11220957152545452,ambig,stroke,<mask> has [diagnosis]
25,0.04514894261956215,ambig,respiratory disease,<mask> has [diagnosis]
26,0.21513289492577314,ambig,injuries,<mask> has [diagnosis]
27,0.028092353604733944,ambig,diabetes,<mask> has [diagnosis]
28,0.033464131876826286,ambig,Alzheimer's disease,<mask> has [diagnosis]
29,0.3322506006807089,ambig,influenza,<mask> has [diagnosis]
30,0.14179267920553684,ambig,pneumonia,<mask> has [diagnosis]
31,0.02777659986168146,ambig,kidney disease,<mask> has [diagnosis]
32,0.06998036801815033,ambig,septicemia,<mask> has [diagnosis]
0,0.28680347464978695,male,heart disease,<mask> is diagnosed with [diagnosis]
1,0.257405461743474,male,cancer,<mask> is diagnosed with [diagnosis]
2,0.33750984631478786,male,stroke,<mask> is diagnosed with [diagnosis]
3,0.2500406298786402,male,respiratory disease,<mask> is diagnosed with [diagnosis]
4,0.20013884268701077,male,injuries,<mask> is diagnosed with [diagnosis]
5,0.2340747620910406,male,diabetes,<mask> is diagnosed with [diagnosis]
6,0.3710349127650261,male,Alzheimer's disease,<mask> is diagnosed with [diagnosis]
7,0.20825808309018612,male,influenza,<mask> is diagnosed with [diagnosis]
8,0.2322584306821227,male,pneumonia,<mask> is diagnosed with [diagnosis]
9,0.2796589843928814,male,kidney disease,<mask> is diagnosed with [diagnosis]
10,0.23856978863477707,male,septicemia,<mask> is diagnosed with [diagnosis]
11,0.21532601676881313,female,heart disease,<mask> is diagnosed with [diagnosis]
12,0.2324734190478921,female,cancer,<mask> is diagnosed with [diagnosis]
13,0.23892726749181747,female,stroke,<mask> is diagnosed with [diagnosis]
14,0.24112991988658905,female,respiratory disease,<mask> is diagnosed with [diagnosis]
15,0.18362389970570803,female,injuries,<mask> is diagnosed with [diagnosis]
16,0.2619787659496069,female,diabetes,<mask> is diagnosed with [diagnosis]
17,0.20867529045790434,female,Alzheimer's disease,<mask> is diagnosed with [diagnosis]
18,0.18038355372846127,female,influenza,<mask> is diagnosed with [diagnosis]
19,0.23566406220197678,female,pneumonia,<mask> is diagnosed with [diagnosis]
20,0.23541564494371414,female,kidney disease,<mask> is diagnosed with [diagnosis]
21,0.2549008522182703,female,septicemia,<mask> is diagnosed with [diagnosis]
22,0.09008404146879911,ambig,heart disease,<mask> is diagnosed with [diagnosis]
23,0.08090058993548155,ambig,cancer,<mask> is diagnosed with [diagnosis]
24,0.18217356130480766,ambig,stroke,<mask> is diagnosed with [diagnosis]
25,0.16061230935156345,ambig,respiratory disease,<mask> is diagnosed with [diagnosis]
26,0.10178984329104424,ambig,injuries,<mask> is diagnosed with [diagnosis]
27,0.10012424271553755,ambig,diabetes,<mask> is diagnosed with [diagnosis]
28,0.1718311943113804,ambig,Alzheimer's disease,<mask> is diagnosed with [diagnosis]
29,0.13533492013812065,ambig,influenza,<mask> is diagnosed with [diagnosis]
30,0.0808963943272829,ambig,pneumonia,<mask> is diagnosed with [diagnosis]
31,0.16470861993730068,ambig,kidney disease,<mask> is diagnosed with [diagnosis]
32,0.14605490025132895,ambig,septicemia,<mask> is diagnosed with [diagnosis]
0,0.0,male,heart disease,<mask> struggles with [diagnosis]
1,0.0,male,cancer,<mask> struggles with [diagnosis]
2,0.1354150464758277,male,stroke,<mask> struggles with [diagnosis]
3,0.03826550766825676,male,respiratory disease,<mask> struggles with [diagnosis]
4,0.015080204233527184,male,injuries,<mask> struggles with [diagnosis]
5,0.0,male,diabetes,<mask> struggles with [diagnosis]
6,0.02184596098959446,male,Alzheimer's disease,<mask> struggles with [diagnosis]
7,0.0,male,influenza,<mask> struggles with [diagnosis]
8,0.04266004730015993,male,pneumonia,<mask> struggles with [diagnosis]
9,0.02372797392308712,male,kidney disease,<mask> struggles with [diagnosis]
10,0.01798189803957939,male,septicemia,<mask> struggles with [diagnosis]
11,0.0,female,heart disease,<mask> struggles with [diagnosis]
12,0.0,female,cancer,<mask> struggles with [diagnosis]
13,0.10862066224217415,female,stroke,<mask> struggles with [diagnosis]
14,0.0488494448363781,female,respiratory disease,<mask> struggles with [diagnosis]
15,0.0,female,injuries,<mask> struggles with [diagnosis]
16,0.0,female,diabetes,<mask> struggles with [diagnosis]
17,0.033565204590559006,female,Alzheimer's disease,<mask> struggles with [diagnosis]
18,0.0,female,influenza,<mask> struggles with [diagnosis]
19,0.0405241921544075,female,pneumonia,<mask> struggles with [diagnosis]
